Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,5.23224986183024,3.9945447586317,3.99073390961582,3.716811370306,3.716811370306,3.70195173252278,3.69334522063448,3.67608847029916,3.66992568567527,1.56232417615497,29.8595101039091
L_Asis,4.50235173123895,3.86593852366116,3.88921857179646,3.58707970018741,3.58707970018741,3.51538027889382,3.53948130660731,3.4832531819847,3.49025928344671,1.01209244779224,22.4791955006531
Sacral,7.07491435616345,5.66489529377985,5.65759661347463,5.58492844494154,5.58492844494154,4.98645916211295,4.9991185057957,4.84790069704113,4.85858313847571,2.21633121768773,31.3266155053444
R_Thigh_Lateral,9.44018935626747,6.88380276756652,6.89943059499227,6.70814411665119,6.70814411665119,6.6011435904537,6.60164050900997,6.5898028340639,6.58855943226697,2.8516299240005,30.2073381833942
R_Knee_Lateral,9.13611126747827,3.39058173027046,3.46072370108711,3.27190583625516,3.27190583625516,3.20542213734032,3.20768803970451,3.20471279842405,3.19091806043371,5.94519320704456,65.0735639375103
R_Shank_Lateral,7.07493557460386,6.36172050610683,5.99425635518776,5.23272506030924,5.23272506030924,5.19639390656386,5.19823173113786,5.19046231673073,5.18545679726199,1.88947877734187,26.7066570065221
R_Ankle_Lateral,2.91748758366188,2.64962740286388,2.58200823132628,2.40702480129395,2.40702480129395,2.38152600375501,2.38179163093524,2.375510012714,2.37819447147123,0.539293112190655,18.484846866555
R_Heel,4.56382355677428,3.44941348363708,3.52961007994956,3.00633454582769,3.00633454582769,2.95728773108578,2.96045482436514,2.95407885574632,2.95270347817998,1.61112007859429,35.301979985682
R_Toe,2.596326778875,2.25201754853059,2.22682029663175,2.1397655966307,2.1397655966307,2.14532927273542,2.15075223736777,2.13857603796447,2.15227656253035,0.444050216344646,17.1030172302523
L_Thigh_Lateral,10.7761846824197,8.21044032422062,8.26519573040492,8.04142470058463,8.04142470058463,7.97015145062665,7.97515341712298,7.96817760585269,7.97858485835705,2.79759982406262,25.9609491346844
L_Knee_Lateral,6.7182595010106,3.34988891396963,3.32836502165133,2.88908812563372,2.88908812563372,2.89906350583412,2.87680745735657,2.89871849338652,2.8924199341498,3.8258395668608,56.9468858159661
L_Shank_Lateral,8.37161216637535,7.84405076720029,7.4080330511779,5.92873958765152,5.92873958765152,5.97127040531655,5.97107722743557,5.98040258533073,5.9704589485026,2.40115321787275,28.6820885888264
L_Ankle_Lateral,3.97760674681311,3.34010492640965,3.19038178946904,2.96031184370813,2.96031184370813,2.89810998425828,2.89260905102621,2.90154751427951,2.88715730896688,1.09044943784623,27.4147120933939
L_Heel,5.58111921139909,4.1114495860845,4.18591436681815,3.86454345175858,3.86454345175858,3.83398835173166,3.81976181070252,3.82535155679953,3.82324867633835,1.75787053506074,31.4967387091535
L_Toe,3.48748965587262,2.33081811281432,2.3666671435467,2.44978124421569,2.44978124421569,2.45443948206424,2.45924828479082,2.45645204196408,2.44719416934987,1.04029548652275,29.8293497378833
R_Shoulder,6.46683866311208,6.13753165663378,6.1366911073347,6.13571013703251,6.13571013703251,3.37263895527768,3.36585523613064,3.28742318409443,3.28750939613194,3.17932926698014,49.1635779490767
L_Shoulder,8.86130199479778,7.41372088871309,7.42943543987043,7.41431404184131,7.41431404184131,4.17963578634804,4.18339562708465,4.12506980056033,4.13275610816014,4.72854588663765,53.3617507835038
C7,8.47744664269882,7.70089519156197,7.69999991856307,7.74053022467989,7.74053022467989,2.7545321447148,2.75614832278485,2.63179409905145,2.63886524350287,5.83858139919595,68.8719333223337
J_Notch,6.20207026614636,6.22915900544389,6.227958399808,6.20601330977605,6.20601330977605,2.61806877404002,2.61380747347849,2.48270563613046,2.47889550442191,3.72317476172445,60.031160595635
Thoracic,4.69187338784654,4.36702408986054,4.36969129368206,4.37397376398942,4.37397376398942,2.54907537142426,2.55033123444685,2.36186145209322,2.36715321791745,2.32472016992909,49.5478027167328
Sternum,8.21444335040138,8.46348972068021,8.46350170711934,8.39743228117895,8.39743228117895,6.91900552486378,6.91743379461783,6.84723054896374,6.84122021394175,1.37322313645963,16.7171782418163
R_Elbow,5.08520505648356,4.1929373268017,4.2139907157523,4.24586850757439,4.24586850757439,3.31495457258384,3.33022203294839,2.99314176319513,2.9889706712801,2.09623438520346,41.2222193976385
L_Elbow,7.95243195486469,6.00304639290829,6.00789745258367,6.00991725052083,6.00991725052083,3.2656686291459,3.2472522338258,2.87747129305129,2.8758397848145,5.07659217005019,63.8369771519355
R_Wrist,5.09993028495663,4.34486576421461,4.358376902295,4.39522013293298,4.39522013293298,3.72191391520062,3.72158707883225,3.24546399269537,3.24777182253217,1.85215846242446,36.3173290405129
L_Wrist,6.3588659955173,5.35900821862213,5.3648643779742,5.36663695404463,5.36663695404463,3.87796401725153,3.86269517821394,3.39913292901429,3.40227723097933,2.95658876453797,46.4955349998289
