Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,SUBJ94_3_JMP_01_pelvis_thigh_marker_adjustment,6.86820843666667,5.04799049333333,-1.82021794333333,7.74761911650793,5.86185490624151,-1.88576421026642,19.66036,16.54061,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_01_SUBJ94_3_JMP_01_pelvis_thigh_marker_adjustment\SUBJ94_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_01_SUBJ94_3_JMP_01_pelvis_thigh_marker_adjustment\SUBJ94_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,SUBJ94_3_JMP_02_knee_ankle_joint_personalization,5.04799049333333,5.003811395,-0.044179098333332,5.86185490624151,5.81979861361167,-0.0420562926298435,16.54061,16.54808,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_02_SUBJ94_3_JMP_02_knee_ankle_joint_personalization\SUBJ94_3_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_02_SUBJ94_3_JMP_02_knee_ankle_joint_personalization\SUBJ94_3_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,SUBJ94_3_JMP_03_lower_limb_body_marker_personalization,5.003811395,4.797117385,-0.206694009999999,5.81979861361167,5.65743375227395,-0.162364861337714,16.54808,16.70531,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_03_SUBJ94_3_JMP_03_lower_limb_body_marker_personalization\SUBJ94_3_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_03_SUBJ94_3_JMP_03_lower_limb_body_marker_personalization\SUBJ94_3_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,SUBJ94_3_JMP_04_ankle_axis_personalization,4.797117385,4.797117385,0,5.65743375227395,5.65743375227395,0,16.70531,16.70531,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_04_SUBJ94_3_JMP_04_ankle_axis_personalization\SUBJ94_3_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_04_SUBJ94_3_JMP_04_ankle_axis_personalization\SUBJ94_3_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,SUBJ94_3_JMP_05_torso_marker_adjustment,4.797117385,3.91301960833333,-0.884097776666668,5.65743375227395,4.67609231843269,-0.981341433841259,16.70531,17.34926,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_05_SUBJ94_3_JMP_05_torso_marker_adjustment\SUBJ94_3_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_05_SUBJ94_3_JMP_05_torso_marker_adjustment\SUBJ94_3_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,SUBJ94_3_JMP_06_shoulder_elbow_joint_personalization,3.91301960833333,3.90097035333334,-0.0120492549999978,4.67609231843269,4.66053097337415,-0.0155613450585406,17.34926,16.94543,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_06_SUBJ94_3_JMP_06_shoulder_elbow_joint_personalization\SUBJ94_3_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_06_SUBJ94_3_JMP_06_shoulder_elbow_joint_personalization\SUBJ94_3_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,SUBJ94_3_JMP_07_upper_limb_body_marker_personalization,3.90097035333334,3.216297895,-0.684672458333331,4.66053097337415,3.80007750162987,-0.860453471744282,16.94543,14.69326,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_07_SUBJ94_3_JMP_07_upper_limb_body_marker_personalization\SUBJ94_3_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_07_SUBJ94_3_JMP_07_upper_limb_body_marker_personalization\SUBJ94_3_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,SUBJ94_3_JMP_08_wrist_axis_personalization,3.216297895,3.22274257166667,0.00644467666666409,3.80007750162987,3.80722947996018,0.00715197833030864,14.69326,14.70359,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_08_SUBJ94_3_JMP_08_wrist_axis_personalization\SUBJ94_3_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ94\Walk_3\SUBJ94_3_JMP_results\SUBJ94_3_STO_and_Plots_ONLY\step_08_SUBJ94_3_JMP_08_wrist_axis_personalization\SUBJ94_3_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
