
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         77           15.5727                             47.1
     1        154           13.4622        0.037647             35.7      
     2        231           11.9167       0.0381666               29      
     3        308           10.8258       0.0275315             23.9      
     4        385           10.1465        0.022032             23.9      
     5        462            9.6174       0.0213299             20.3      
     6        539           9.20342       0.0185845             18.6      
     7        616           8.87994       0.0207454             16.6      
     8        693           8.63623       0.0198489             15.3      
     9        770           8.40627       0.0179234               14      
    10        847           8.23502       0.0189318             13.5      
    11        924           8.09201       0.0171198             12.4      
    12       1001           7.98644       0.0112304             11.9      
    13       1078           7.86349      0.00709837             10.5      
    14       1155           7.77342       0.0072499             9.91      
    15       1232           7.69975       0.0058401             8.86      
    16       1309           7.63205      0.00587318             7.62      
    17       1386            7.5681      0.00458828             8.16      
    18       1463           7.49864      0.00599606             6.47      
    19       1540           7.46121      0.00377561             7.49      
    20       1617           7.40892      0.00557431             6.64      
    21       1694           7.36732      0.00506762              7.1      
    22       1771           7.32694      0.00139097             6.64      
    23       1848           7.28297      0.00585928             5.67      
    24       1925           7.23976      0.00601485             6.86      
    25       2002            7.1958      0.00571013             6.35      
    26       2079           7.16747      0.00461124              5.8      
    27       2156           7.11991      0.00596707             6.28      
    28       2233           7.09765      0.00327555             6.25      
    29       2310           7.06172      0.00562367             5.86      
    30       2387           7.02161      0.00708886             5.29      
    31       2464           6.98971      0.00670754             5.85      
    32       2541             6.959      0.00578002              5.5      
    33       2618           6.92805      0.00585284                5      
    34       2695           6.90439      0.00597544             5.47      
    35       2772            6.8786      0.00428864         2.92e+04      
    36       2849           6.85863      0.00479175             5.47      
    37       2926           6.84102      0.00119794             4.83      
    38       3003           6.82163      0.00239587             4.74      
    39       3080           6.79998      0.00479175              4.8      
    40       3157           6.77949      0.00582885             5.31      
    41       3234           6.76872      0.00298298             5.18      
    42       3311           6.74516      0.00673362             5.56      
    43       3388           6.72292      0.00621843             4.95      
    44       3465           6.70113      0.00621465             5.14      
    45       3542           6.68443      0.00517831             4.84      
    46       3619           6.66123      0.00646281             5.38      
    47       3696              6.64      0.00662322             3.94      
    48       3773           6.62197      0.00499825             4.55      
    49       3850            6.6023      0.00771847             3.93      
<a href="matlab: opentoline('C:\Program Files\MATLAB\R2025b\toolbox\matlab\datatypes\@opaque\double.m',54,1)">54  </a>        for i=1:numCells
    50       3927           6.58402      0.00641599             4.41      
    51       4004             6.575     0.000595607             3.79      
    52       4081           6.55936       0.0071197             3.56      
    53       4158           6.54666      0.00630507             3.56      
    54       4235           6.53458      0.00569591             3.44      
    55       4312           6.51929      0.00652781             3.39      
    56       4389           6.50638      0.00693092             4.36      
    57       4466           6.48969      0.00800867             3.76      
    58       4543            6.4739      0.00791981             4.05      
    59       4620           6.46012       0.0078543             4.12      
    60       4697            6.4417      0.00810627             51.7      
    61       4774           6.43253      0.00300904             3.28      
    62       4851           6.42433     0.000752259             3.92      
    63       4928           6.41641      0.00150452             3.96      
    64       5005           6.40754      0.00300904             3.47      
    65       5082           6.39637      0.00601807             3.04      
    66       5159           6.38696      0.00831823             3.85      
    67       5236           6.37261       0.0106332             3.05      
    68       5313           6.36081      0.00952915             2.51      
    69       5390           6.35115      0.00841908             2.84      
    70       5467           6.34579      0.00519172             2.82      
    71       5544           6.33512       0.0101374         2.67e+04      
    72       5621           6.32652      0.00883953             3.93      
    73       5698           6.31878      0.00220988             4.06      
    74       5775           6.31295      0.00441976              3.7      
    75       5852           6.30609      0.00872665              2.8      
    76       5929           6.29978      0.00565344             2.78      
    77       6006           6.29351      0.00786271             2.88      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 6.000000e+03.

Joint Model Personalization Runtime: 25.129734 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         37           2.51875                             41.7
     1         74           2.07916      0.00638016             22.7      
     2        111           1.96065      0.00247615             15.4      
     3        148           1.89569      0.00191505             14.4      
     4        185           1.84913      0.00191628             11.5      
     5        222              1.82      0.00171296             9.34      
     6        259           1.80155      0.00143905             6.81      
     7        296           1.78627     0.000990702             10.6      
     8        333            1.7709       0.0011719             6.52      
     9        370           1.75884     0.000987693                8      
    10        407           1.74429       0.0010792              9.3      
    11        444           1.72809      0.00137061             5.92      
    12        481           1.71826      0.00116006             9.46      
    13        518           1.70106      0.00118566             6.75      
    14        555           1.68945      0.00109368             10.5      
    15        592           1.67188      0.00121891             7.48      
    16        629           1.65941       0.0012678             8.18      
    17        666           1.64552      0.00140094             8.46      
    18        703           1.62976      0.00115568             9.35      
    19        740           1.61715     0.000878007             6.92      
    20        777           1.60771     0.000903279             5.41      
    21        814           1.59749     0.000816807             8.89      
    22        851           1.58432      0.00110042             8.33      
    23        888            1.5702      0.00105855             9.33      
    24        925           1.55363      0.00130905             12.8      
    25        962           1.53386       0.0012189             7.09      
    26        999            1.5227      0.00098278             6.73      
    27       1036            1.5112     0.000799777             7.92      
    28       1073           1.49563      0.00119861             7.19      
    29       1110           1.48337     0.000969588             7.71      
    30       1147           1.47009      0.00101543             7.92      
