
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
    17       1386          0.764334       0.0029696             2.47      
    18       1463          0.757005      0.00260453             3.33      
    19       1540          0.750014      0.00236904             2.64      
    20       1617          0.744381       0.0030551              2.9      
    21       1694           0.73735      0.00346225             2.84      
    22       1771          0.732634      0.00147795              2.4      
    23       1848          0.727953      0.00200944             3.45      
    24       1925          0.719852      0.00371804             2.31      
    25       2002          0.714266      0.00289326             2.26      
    26       2079          0.709412      0.00286505             2.51      
    27       2156          0.703694      0.00235031             2.66      
    28       2233          0.697736      0.00329871              1.9      
    29       2310          0.692352      0.00289496             2.69      
    30       2387          0.686273      0.00375245             2.93      
    31       2464          0.681343      0.00220287             3.05      
    32       2541          0.676437      0.00300281             2.46      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 2.500000e+03.

Joint Model Personalization Runtime: 7.810187 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0          9         0.0789808                                0

<a href = "matlab: helpview('optim','lsq_init_pt_min','CSHelpWindow');">Initial point is a local minimum</a>.

Optimization completed because the <a href = "matlab: helpview('optim','lsq_grad_size','CSHelpWindow');">size of the gradient</a> at the initial point 
is less than the value of the <a href = "matlab: helpview('optim','optimality_tolerance_lsq','CSHelpWindow');">optimality tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit100basic'},{'optimlib:snls:Exit100detailed','0.000000e+00','1.000000e-03'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.019086 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         45           1.85559                               38
     1         90          0.551059       0.0395174             16.4      
     2        135          0.319015       0.0283931             7.32      
     3        180          0.255655       0.0119044             5.95      
     4        225          0.227574       0.0140645              4.5      
     5        270           0.22728       0.0137196             4.37      
     6        315          0.199208      0.00342989            0.725      
     7        360          0.199208      0.00342989            0.725      
     8        405          0.197987     0.000857472            0.395      
     9        450          0.197987     0.000857472            0.395      
    10        495          0.197792     0.000214368            0.217      
    11        540          0.197693     0.000214368            0.149      
    12        585          0.197612     0.000214368            0.266      
    13        630          0.197559     0.000214368            0.161      
    14        675          0.197505     0.000214368            0.203      
    15        720          0.197433     0.000428736            0.309      
    16        765          0.197425     0.000428736            0.377      
    17        810          0.197357     0.000107184            0.312      
    18        855          0.197293     0.000107184             0.15      
    19        900           0.19727     0.000107184            0.103      
    20        945          0.197245     0.000107184            0.112      
    21        990          0.197205     0.000214368            0.166      
    22       1035          0.197163     0.000214368            0.186      
    23       1080          0.197146     0.000214368            0.199      
    24       1125          0.197121      5.3592e-05            0.162      
    25       1170          0.197115      5.3592e-05            0.104      
    26       1215          0.197093      5.3592e-05              512      
    27       1260          0.197093     0.000107184              512      
    28       1305          0.197093      2.6796e-05              512      
    29       1350          0.197086       6.699e-06            0.121      
    30       1395          0.197085     1.67475e-06            0.108      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 1.898134 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         33          0.109457                            0.325
     1         66          0.109434     0.000168845            0.111      
     2         99          0.109434     0.000118315            0.111      
     3        132          0.109434     2.95788e-05            0.111      
     4        165          0.109434      7.3947e-06            0.111      
     5        198          0.109432     1.84867e-06            0.127      
     6        231          0.109432     3.69735e-06            0.127      
     7        264          0.109432     9.24337e-07            0.127      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','9.243372e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.356742 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         73          0.375142                             10.9
     1        146          0.290508      0.00892672              8.1      
     2        219          0.240926      0.00333103             6.06      
     3        292           0.21463      0.00332731             4.66      
     4        365           0.19968        0.002627             3.39      
     5        438          0.191451      0.00147225             2.21      
     6        511          0.187741      0.00154964             2.19      
     7        584          0.184877      0.00142531             1.72      
     8        657          0.183182     0.000952512            0.708      
     9        730          0.182578     0.000615972             1.04      
    10        803          0.181542     0.000758717            0.883      
    11        876          0.181045     0.000423691            0.741      
    12        949          0.180831     0.000438258            0.927      
    13       1022          0.180674     0.000887014             0.67      
    14       1095          0.180471     0.000221753            0.471      
    15       1168          0.180452     0.000221753            0.672      
    16       1241          0.180452     5.54384e-05            0.672      
    17       1314          0.180442     1.38596e-05            0.568      
    18       1387          0.180442      3.4649e-06            0.568      
    19       1460          0.180442     8.66225e-07            0.568      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','8.662245e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 2.552274 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         25        0.00852064                             2.15
     1         50        0.00764006     0.000685917             3.78      
     2         75        0.00764006     0.000171479             3.78      
     3        100        0.00764006     4.28698e-05             3.78      
     4        125        0.00764006     1.07175e-05             3.78      
     5        150        0.00764006     2.67936e-06             3.78      
     6        175        0.00753188     6.69841e-07              3.8      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','6.698410e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.289181 Hours
