Step,StepName,Marker,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Asis,10.3358236842105,4.10916801169591,-6.22665567251462,10.6895192484845,4.42264934952995,-6.26686989895452,16.48392,7.62318
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Asis,7.76116362573099,4.70224935672515,-3.05891426900585,8.25527286810405,4.98674880484351,-3.26852406326054,13.52061,8.62545
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,Sacral,9.29837309941521,5.89812263157895,-3.40025046783626,9.58342761287019,6.26272077264347,-3.32070684022672,13.46971,10.69633
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Thigh_Lateral,9.90796719298245,5.05912929824561,-4.84883789473684,10.6686318075667,6.0020938079589,-4.6665379996078,20.89688,14.01766
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Knee_Lateral,16.9630508187135,3.32713649122807,-13.6359143274854,19.3373442305938,3.84573150034323,-15.4916127302506,32.76585,8.61961
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Shank_Lateral,11.7383094152047,7.19918678362573,-4.53912263157895,14.3323224887006,8.24275168634794,-6.08957080235262,29.74939,17.15856
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Ankle_Lateral,6.15978520467836,2.95589730994152,-3.20388789473684,6.9760435159399,3.34869533391755,-3.62734818202235,12.12549,7.21883
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Heel,6.32855918128655,4.07323970760234,-2.25531947368421,6.60722600034164,4.1855607221474,-2.42166527819425,10.18055,6.70242
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Toe,3.97951567251462,2.35836660818714,-1.62114906432748,4.35089142155331,2.45208615634591,-1.8988052652074,8.40069,4.33766
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Thigh_Lateral,10.478488128655,4.87445619883041,-5.60403192982456,11.7840465514072,5.34851667680119,-6.43552987460604,19.5162,9.2298
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Knee_Lateral,18.2413258479532,4.31349959064328,-13.9278262573099,20.9221068970259,4.81972678648073,-16.1023801105452,35.3779,8.73483
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Shank_Lateral,10.8659935672515,6.3123065497076,-4.55368701754386,12.4153537321784,7.32344472987576,-5.09190900230267,23.01992,16.20662
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Ankle_Lateral,8.75606900584795,3.18902350877193,-5.56704549707602,9.40941056772346,3.76189697582893,-5.64751359189453,14.96188,8.34903
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Heel,6.49600736842105,3.2918869005848,-3.20412046783626,6.74546932154174,3.40098521072216,-3.34448411081958,10.17383,5.41472
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Toe,4.69332947368421,2.38245251461988,-2.31087695906433,5.12267868752471,2.55231845676259,-2.57036023076211,9.43581,4.72145
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Shoulder,7.19114204678363,4.46602315789474,-2.72511888888889,7.48254894751973,4.98443335821137,-2.49811558930836,11.76728,9.43667
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Shoulder,8.57795894736842,6.78544783625731,-1.79251111111111,8.68329518409359,6.8515913496512,-1.83170383444238,10.90885,9.98521
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,C7,4.15206421052632,5.56256035087719,1.41049614035088,4.42233416547183,5.72329454382292,1.30096037835109,8.76612,8.87134
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,J_Notch,5.56312175438597,5.53365619883041,-0.0294655555555566,5.72256977509476,5.70426788854595,-0.0183018865488049,7.98584,7.98636
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,Thoracic,9.42831508771929,4.59285894736842,-4.83545614035087,9.96279915846777,4.90227347390984,-5.06052568455793,14.50139,8.30366
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,Sternum,9.13470883040936,7.56166543859649,-1.57304339181286,9.89602243114196,8.05986658532417,-1.83615584581779,18.85005,14.83161
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Elbow,11.0758622807018,5.37305707602339,-5.70280520467836,11.5653167418068,6.12409444075244,-5.44122230105439,16.81604,10.47432
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Elbow,5.8494983625731,4.70063304093567,-1.14886532163743,7.32816371810662,5.57135117381462,-1.75681254429201,13.71653,10.42608
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,R_Wrist,7.10108368421052,3.45140239766082,-3.64968128654971,7.33039333779928,3.91664764964394,-3.41374568815534,10.46499,6.80502
1,SUBJ63_3_JMP_01_pelvis_thigh_marker_adjustment,L_Wrist,4.07771099415205,3.51208912280702,-0.565621871345028,5.13578437766295,4.30990825768345,-0.825876119979503,9.22618,7.9218
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Asis,4.10916801169591,4.10635538011696,-0.0028126315789476,4.42264934952995,4.42557697060643,0.00292762107648344,7.62318,7.47573
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Asis,4.70224935672515,4.68156719298246,-0.0206821637426888,4.98674880484351,4.96988275533569,-0.016866049507824,8.62545,8.67354
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,Sacral,5.89812263157895,5.87293005847953,-0.0251925730994145,6.26272077264347,6.24218803359173,-0.0205327390517393,10.69633,10.62453
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Thigh_Lateral,5.05912929824561,5.04768719298246,-0.0114421052631588,6.0020938079589,5.98150351649007,-0.0205902914688361,14.01766,13.80739
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Knee_Lateral,3.32713649122807,3.36102251461988,0.0338860233918127,3.84573150034323,3.84946069995602,0.00372919961278816,8.61961,8.42173
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Shank_Lateral,7.19918678362573,6.97498894736842,-0.224197836257311,8.24275168634794,8.04432204207731,-0.19842964427063,17.15856,17.43955
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Ankle_Lateral,2.95589730994152,2.89775339181287,-0.0581439181286544,3.34869533391755,3.27320254911461,-0.0754927848029357,7.21883,6.77739
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Heel,4.07323970760234,4.08170941520468,0.00846970760233923,4.1855607221474,4.19560376038479,0.0100430382373902,6.70242,6.57248
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Toe,2.35836660818714,2.36532514619883,0.00695853801169558,2.45208615634591,2.46359088070064,0.0115047243547249,4.33766,4.43651
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Thigh_Lateral,4.87445619883041,4.84991736842105,-0.0245388304093569,5.34851667680119,5.32648537865881,-0.0220312981423828,9.2298,9.26387
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Knee_Lateral,4.31349959064328,4.34505233918129,0.0315527485380109,4.81972678648073,4.85996735809647,0.0402405716157352,8.73483,8.82223
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Shank_Lateral,6.3123065497076,6.25455742690059,-0.0577491228070165,7.32344472987576,7.24273533391158,-0.0807093959641842,16.20662,16.1937
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Ankle_Lateral,3.18902350877193,3.04373824561404,-0.145285263157895,3.76189697582893,3.58703580391651,-0.174861171912426,8.34903,7.95882
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Heel,3.2918869005848,3.19773555555556,-0.0941513450292398,3.40098521072216,3.30726537623843,-0.0937198344837372,5.41472,5.20601
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Toe,2.38245251461988,2.37826116959064,-0.00419134502924016,2.55231845676259,2.56147481062277,0.00915635386017875,4.72145,4.67547
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Shoulder,4.46602315789474,4.4631552631579,-0.00286789473684206,4.98443335821137,4.98240749380433,-0.00202586440704172,9.43667,9.4498
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Shoulder,6.78544783625731,6.80091134502924,0.0154635087719285,6.8515913496512,6.86833780201935,0.0167464523681427,9.98521,9.96876
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,C7,5.56256035087719,5.55034415204678,-0.0122161988304103,5.72329454382292,5.71032418320721,-0.0129703606157145,8.87134,8.86559
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,J_Notch,5.53365619883041,5.52738304093567,-0.00627315789473656,5.70426788854595,5.69770920358811,-0.00655868495784504,7.98636,7.98296
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,Thoracic,4.59285894736842,4.59289964912281,4.0701754386134e-05,4.90227347390984,4.9056461280062,0.00337265409636363,8.30366,8.27203
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,Sternum,7.56166543859649,7.55458555555556,-0.00707988304093649,8.05986658532417,8.05612567011885,-0.00374091520531986,14.83161,14.83987
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Elbow,5.37305707602339,5.38180286549708,0.00874578947368358,6.12409444075244,6.1278589502992,0.0037645095467562,10.47432,10.48507
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Elbow,4.70063304093567,4.67445157894737,-0.0261814619883036,5.57135117381462,5.56559730142752,-0.00575387238709469,10.42608,10.33409
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,R_Wrist,3.45140239766082,3.45990263157895,0.00850023391812775,3.91664764964394,3.92254671928696,0.00589906964301896,6.80502,6.78144
2,SUBJ63_3_JMP_02_knee_ankle_joint_personalization,L_Wrist,3.51208912280702,3.49922959064327,-0.0128595321637432,4.30990825768345,4.31306800115784,0.0031597434743966,7.9218,8.01742
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Asis,4.10635538011696,4.03821087719298,-0.0681445029239777,4.42557697060643,4.41892006060926,-0.00665690999716688,7.47573,8.31022
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Asis,4.68156719298246,4.38673970760234,-0.294827485380119,4.96988275533569,4.74929727879211,-0.220585476543581,8.67354,8.10719
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,Sacral,5.87293005847953,5.83112157894737,-0.0418084795321648,6.24218803359173,6.17651841093824,-0.0656696226534878,10.62453,9.80334
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Thigh_Lateral,5.04768719298246,5.08737754385965,0.039690350877193,5.98150351649007,5.98751145236376,0.00600793587368902,13.80739,12.88322
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Knee_Lateral,3.36102251461988,2.65223169590643,-0.708790818713451,3.84946069995602,3.16669734918746,-0.682763350768556,8.42173,8.41079
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Shank_Lateral,6.97498894736842,5.14331608187134,-1.83167286549708,8.04432204207731,6.191090017334,-1.85323202474331,17.43955,14.25193
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Ankle_Lateral,2.89775339181287,1.91940678362573,-0.978346608187134,3.27320254911461,2.20334020052756,-1.06986234858706,6.77739,5.76054
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Heel,4.08170941520468,1.88016631578947,-2.2015430994152,4.19560376038479,2.18542596652359,-2.0101777938612,6.57248,4.51043
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Toe,2.36532514619883,1.50291906432749,-0.862406081871345,2.46359088070064,1.6667972424499,-0.796793638250736,4.43651,4.09866
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Thigh_Lateral,4.84991736842105,4.97440766081871,0.12449029239766,5.32648537865881,5.45129731982138,0.124811941162575,9.26387,9.18481
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Knee_Lateral,4.34505233918129,3.39025754385965,-0.954794795321638,4.85996735809647,3.72830017369392,-1.13166718440255,8.82223,7.52273
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Shank_Lateral,6.25455742690059,4.82089105263158,-1.43366637426901,7.24273533391158,5.69966587057168,-1.54306946333989,16.1937,13.23537
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Ankle_Lateral,3.04373824561404,2.39508157894737,-0.648656666666667,3.58703580391651,2.84361437818582,-0.743421425730684,7.95882,6.90523
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Heel,3.19773555555556,2.24937204678363,-0.94836350877193,3.30726537623843,2.5108062958725,-0.796459080365926,5.20601,5.0085
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Toe,2.37826116959064,1.92633543859649,-0.451925730994152,2.56147481062277,2.1194059943988,-0.442068816223973,4.67547,4.06444
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Shoulder,4.4631552631579,4.46687497076023,0.00371970760233795,4.98240749380433,5.00631005781563,0.0239025640113022,9.4498,9.56499
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Shoulder,6.80091134502924,6.81819105263158,0.0172797076023407,6.86833780201935,6.8844348296329,0.0160970276135534,9.96876,10.11558
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,C7,5.55034415204678,5.58477140350877,0.0344272514619893,5.71032418320721,5.72718615543664,0.0168619722294358,8.86559,8.86162
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,J_Notch,5.52738304093567,5.55866877192982,0.0312857309941522,5.69770920358811,5.73550313520386,0.0377939316157545,7.98296,8.18859
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,Thoracic,4.59289964912281,4.57696941520468,-0.0159302339181279,4.9056461280062,4.89654404430111,-0.00910208370508581,8.27203,8.15859
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,Sternum,7.55458555555556,7.64955415204678,0.0949685964912288,8.05612567011885,8.18186032229849,0.125734652179636,14.83987,15.31653
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Elbow,5.38180286549708,5.33705713450292,-0.0447457309941503,6.1278589502992,6.08744374768515,-0.0404152026140508,10.48507,10.46897
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,L_Elbow,4.67445157894737,4.69073760233918,0.0162860233918118,5.56559730142752,5.57739177263113,0.0117944712036116,10.33409,10.4622
3,SUBJ63_3_JMP_03_lower_limb_body_marker_personalization,R_Wrist,3.45990263157895,3.43947596491228,-0.0204266666666659,3.92254671928696,3.90724641406921,-0.0153003052177463,6.78144,6.7698
