Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,9.07745619026731,4.89643203124032,5.06605190703559,5.20035636707082,5.20035636707082,4.96552755648648,4.95321210418162,4.9854801499186,4.97000051803942,4.10745567222789,45.2489726872142
L_Asis,9.61698264330511,5.86075361345419,5.57022488312057,6.06353317408864,6.06353317408864,5.53936136070746,5.52680686579699,5.56554064745872,5.55918386526654,4.05779877803857,42.1940948480698
R_Psis,7.38293597161606,3.33929885213111,3.30863873265336,3.17773929992071,3.17773929992071,2.80288371599477,2.79963798169262,2.81214458420047,2.80923852501717,4.5736974465989,61.9495748599558
L_Psis,7.4048026503993,3.8158393230083,3.58625696188044,3.95410951295952,3.95410951295952,3.53677802705378,3.53608664872166,3.51183119357367,3.5113799529904,3.8934226974089,52.5796956546701
Sacral,7.02882865897504,2.98684870641924,2.855120576124,2.94639370928477,2.94639370928477,2.40379306101722,2.3974560135302,2.4040034996416,2.39930720060817,4.62952145836687,65.8647647137547
R_Thigh_Lateral,19.7415046489223,9.21785858315058,9.32978471130303,8.35827536589118,8.35827536589118,8.21871769373903,8.2119179217913,8.18235548863459,8.16580205959629,11.575702589326,58.6363744566852
R_Knee_Lateral,37.6624947198772,8.09969804817347,8.96452635005173,8.27635560064695,8.27635560064695,8.05560478609148,8.05151499124044,8.0253422373507,8.03175430676472,29.6307404131125,78.6743964612472
R_Shank_Lateral,28.2311172146859,19.7505978232487,17.1947159590366,12.0472747721625,12.0472747721625,12.0638410839139,12.0607476309495,12.0681903774364,12.0780905160715,16.1530266986144,57.2171004632136
R_Ankle_Lateral,37.5495836758867,14.5666742257317,16.5642014590092,6.20845060243169,6.20845060243169,6.47546186499565,6.47225056336735,6.46569627596368,6.46105687637918,31.0885267995075,82.793266279199
R_Heel,26.4446821748311,18.3047195610545,19.190065935568,5.94339175159147,5.94339175159147,5.79925437169202,5.80878448037008,5.80208908544408,5.80685610306287,20.6378260717683,78.0414978532448
R_Toe,15.1368837087895,10.2227624029441,10.3907939757268,3.2609761737642,3.2609761737642,3.18573624385524,3.16385152133496,3.17076342722514,3.19056480262385,11.9463189061657,78.9219177209428
L_Thigh_Lateral,18.5814702041002,9.7703304836761,9.88264185362862,9.3850179991741,9.3850179991741,9.32373842830413,9.33570483248829,9.30181324769395,9.26929810250826,9.31217210159189,50.1153676178814
L_Knee_Lateral,23.7066240488348,4.88874725710994,5.06787895375327,4.00885525934135,4.00885525934135,3.67198064227482,3.64475544001551,3.65973952304952,3.67656165259999,20.0300623962348,84.4914162175669
L_Shank_Lateral,13.572600493345,11.0339490326235,10.4204630081754,8.95337102302891,8.95337102302891,8.80159622272379,8.80398962816004,8.79393634589931,8.81477051328381,4.75782998006121,35.0546675443228
L_Ankle_Lateral,6.3398828035645,2.93858175054962,3.03392626218486,2.20878807017647,2.20878807017647,2.3032658561381,2.30469384981269,2.31221014370957,2.30397023868565,4.03591256487884,63.6591036447822
L_Heel,4.81465032448218,3.35452512238343,3.63899823803742,2.69861187108805,2.69861187108805,2.69857938596649,2.69384348027931,2.69649809207941,2.71387493345654,2.10077539102563,43.6329795404524
L_Toe,2.74238404286984,2.28070192785388,2.4437914720386,1.98251661151685,1.98251661151685,1.96020889123615,1.97923134250346,1.96638982130215,1.95270014197969,0.789683900890147,28.7955256647337
R_Shoulder,10.9290765354392,8.63254166220226,8.58815516359517,8.72690084124916,8.72690084124916,3.63205828546595,3.63395137053985,3.65479753625938,3.66106232428352,7.26801421115572,66.5016315659246
L_Shoulder,9.37982311089861,6.91776980096116,6.99543900679721,6.88509248562775,6.88509248562775,4.09187754334153,4.06892141215134,3.70853036461974,3.71056765865534,5.66925545224327,60.4409633872098
C7,5.10396211249913,4.37278336018466,4.35491363772264,4.41031849256462,4.41031849256462,2.13232699674805,2.12766719877507,1.91207697885876,1.91071501838705,3.19324709411207,62.5640830344745
J_Notch,7.51865788470602,5.08429682301318,5.11939740341293,5.04647028194413,5.04647028194413,2.24531681400986,2.24249788080464,2.14244809636955,2.14384617648608,5.37481170821994,71.4863183115838
Thoracic,6.90815861106526,8.41493847150755,8.38522885601814,8.37538436391287,8.37538436391287,2.2334891765194,2.23346966280195,2.26330299188711,2.26169400640558,4.64646460465968,67.2605373770244
Sternum,17.8262128101732,10.4839142454198,10.4868230550871,10.4416185943441,10.4416185943441,4.82481755889852,4.82487959583959,4.81107810693484,4.80720372269231,13.0190090874809,73.0329499940173
R_Elbow,11.2513080974554,9.73286357337745,9.71442273703352,9.72372329390487,9.72372329390487,4.49045209504775,4.46831309876841,3.13458725968565,3.13992068086153,8.11138741659391,72.0928388622506
L_Elbow,7.69839054870836,9.65108012554559,9.56618171539648,9.74936552327541,9.74936552327541,2.95751454356981,3.01025583497496,1.73324818400838,1.72415503732308,5.97423551138528,77.6036948708407
R_Wrist,9.44313595690852,8.41274797820488,8.41527719876153,8.37863448505539,8.37863448505539,4.99540915548646,4.99352776766598,2.42619783159195,2.42945216598889,7.01368379091963,74.272824440153
L_Wrist,4.20403449336565,4.73729909832844,4.68276833132381,4.81140814589001,4.81140814589001,4.12762874374982,4.10570221731837,2.20002230027228,2.20629705227473,1.99773744109092,47.5195302094579
