Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,6.80158893381037,4.75637011570519,5.41912473838554,4.71915418827565,4.71915418827565,4.51299626632634,4.5410348044846,4.43997221337407,4.46091923845421,2.34066969535616,34.4135718599636
L_Asis,7.04135973559351,4.01845419454848,4.48288057937752,4.10438444640636,4.10438444640636,3.98368152166039,3.97081235821175,3.97331314681332,3.9767489148611,3.06461082073241,43.5229974864236
R_Psis,5.50530614729549,3.37290253988198,3.35598983989209,3.15514733634597,3.15514733634597,2.90533173161172,2.90719889549157,2.96905637977681,2.9578674576319,2.54743868966359,46.2724255746436
L_Psis,3.6946920610434,2.835461683225,2.7448966940155,2.75264074083267,2.75264074083267,2.54450398439163,2.55677021953302,2.60294381020356,2.60277015776626,1.09192190327714,29.5538000254553
Sacral,4.0992249105674,2.77706714480346,2.82166083646738,2.66625084843534,2.66625084843534,2.44846432159634,2.45500393239703,2.51890041530575,2.51958973109798,1.57963517946942,38.5349721943111
R_Thigh_Lateral,11.1809586304828,7.7554149602776,8.91432545145301,7.01580589797609,7.01580589797609,6.99033634829664,6.98578545941353,6.97487956822444,6.99089339825584,4.19006523222698,37.4750088136767
R_Knee_Lateral,43.711598487293,7.75330926356429,8.82569730160636,6.91074768950424,6.91074768950424,6.85445222644144,6.85969998820956,6.83034316154359,6.83810196505478,36.8734965222382,84.3563214302432
R_Shank_Lateral,29.2285472950653,15.2272456269025,14.2800918830405,9.90739009093107,9.90739009093107,9.90693352142519,9.89775440077585,9.88939899447525,9.88888951557759,19.3396577794877,66.1670167328257
R_Ankle_Lateral,18.0891918327262,9.33875173492532,11.1244093059955,5.10114600770306,5.10114600770306,5.13828574409713,5.14967196361077,5.16177592464348,5.16022518043366,12.9289666522925,71.4734343681513
R_Heel,10.3200774511973,14.0748900276554,15.278933952393,6.44577097333298,6.44577097333298,6.41331434832364,6.4002478207449,6.4112693529302,6.40803151452555,3.91204593667173,37.9071373753874
R_Toe,3.44836077018354,6.25679449445294,6.60117791690458,2.85812750644195,2.85812750644195,2.85543671367139,2.84676832556118,2.84455892052697,2.83201494941232,0.616345820771216,17.8735886946774
L_Thigh_Lateral,9.5746200400793,8.93618723513894,8.8056857212912,8.59883722708622,8.59883722708622,8.48474596290194,8.48699113883651,8.44933055134022,8.44981735209136,1.12480268798794,11.7477527387983
L_Knee_Lateral,64.4130392850019,8.89021541922137,9.19489641682135,8.09445819424308,8.09445819424308,7.98276515768814,7.98104293252865,7.98443198351075,7.96729079434745,56.4457484906545,87.6309348498595
L_Shank_Lateral,21.8962504847836,11.0400020426887,10.3852301830551,9.70982772144976,9.70982772144976,9.68877022585468,9.67260845159238,9.68290219651341,9.68537268302845,12.2108778017552,55.766980790802
L_Ankle_Lateral,14.6947179192166,3.035639538074,3.77690256862084,2.64101966608712,2.64101966608712,2.63319394755802,2.63621640505807,2.63035749754593,2.62555765571719,12.0691602634994,82.1326433746395
L_Heel,18.0630288042701,3.64243100241626,3.77379036721762,3.53519165438618,3.53519165438618,3.53774576097412,3.528909594065,3.52469316435181,3.53579533459543,14.5272334696746,80.4252355852991
L_Toe,9.35241766750637,2.32285595506462,2.78983406307106,2.31427638485377,2.31427638485377,2.3381652908739,2.33423963315635,2.34022370604088,2.35547928299688,6.99693838450949,74.8142205925998
R_Shoulder,6.75923188610943,6.64025388158952,6.66279124642345,6.65246722163055,6.65246722163055,2.7344763222689,2.73526952384599,2.73370017934067,2.74298671965422,4.01624516645522,59.4186622700252
L_Shoulder,5.1067881033204,4.85943789882445,4.91137222959121,4.9124307234385,4.9124307234385,2.40919707982052,2.41079630302873,2.41242708751075,2.40867081146478,2.69811729185562,52.8339386179215
C7,3.27212082518214,3.29400717177711,3.28379861282709,3.27792855922084,3.27792855922084,1.5985385140004,1.58906749259687,1.57878069172091,1.57889483744599,1.69322598773615,51.7470496414783
J_Notch,5.73377813286845,5.65413722174381,5.73434035839527,5.67629351240475,5.67629351240475,1.48330872182109,1.48568278401506,1.48191156652073,1.48438939179873,4.24938874106973,74.1114958165267
Thoracic,2.99133942837064,2.87028140078718,3.03445415958146,2.89936293958453,2.89936293958453,2.31127260660557,2.31634965307733,2.33217988596564,2.33077195279244,0.660567475578202,22.0826653542961
Sternum,6.91872328307349,6.31825491227771,6.15912292705871,6.29826351104422,6.29826351104422,3.3423798383423,3.33849949716781,3.34972539065721,3.34281299130595,3.57591029176754,51.684539841562
R_Elbow,3.50518040191675,3.55072548815057,3.48192453178227,3.47900605122764,3.47900605122764,1.90024394065811,1.90481891938637,1.90600177688961,1.9057814563907,1.59939894552605,45.6295757174565
L_Elbow,7.26294197713905,7.77475490254387,7.70519150642586,7.7389337555298,7.7389337555298,6.18822913517263,6.18004291097095,2.17309969133099,2.17167305407299,5.09126892306606,70.0992647207071
R_Wrist,3.87978621668643,3.96467198092583,3.92713187042332,3.91778084459057,3.91778084459057,2.31696562387995,2.29111880784235,2.147124073511,2.12854099704306,1.75124521964338,45.1376731045517
L_Wrist,6.99266787225492,7.20414598348907,7.18271201095267,7.1897533425585,7.1897533425585,6.27615778102995,6.26318119807404,1.17431102070321,1.17366661701012,5.8190012552448,83.2157534370118
