Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,7.90740422502194,6.56012716374366,6.55063973182401,5.43411099642432,5.43411099642432,5.38454878899695,5.37708018366647,5.39773780825707,5.40989204129815,2.49751218372379,31.5844759247382
L_Asis,9.54659705139378,6.9000308376979,6.90363174080189,6.20520479033609,6.20520479033609,6.08421962966129,6.0936083198512,6.09406113894854,6.10168978453301,3.44490726686077,36.0851856249429
R_Psis,6.26116836586039,4.7444087433215,4.71443749873589,5.00034625681608,5.00034625681608,4.21395251429041,4.2116783678997,4.22520651725528,4.2178903673775,2.0432779984829,32.6341327862075
L_Psis,5.99625087942744,4.33303086651175,4.34893161304252,4.63833735399882,4.63833735399882,3.49282994452447,3.48572070778707,3.50192814824055,3.49920802749291,2.49704285193452,41.6434018880304
Sacral,5.29256686521791,3.42197876831854,3.41515614450931,3.43690525313918,3.43690525313918,2.22061208277843,2.21502174638005,2.19895471003058,2.19479093362063,3.09777593159728,58.5306905039874
R_Thigh_Lateral,13.9348944855376,8.62732434500294,8.59382639414022,6.78741182250297,6.78741182250297,6.72907199477898,6.7365664725568,6.73964055076086,6.7194889147929,7.21540557074474,51.779405852217
R_Knee_Lateral,24.3582324278682,11.4626604445696,11.4422628026552,7.42340334249893,7.42340334249893,7.41416467823171,7.40911058499051,7.41615615020046,7.41107746825977,16.9471549596085,69.5746500071131
R_Shank_Lateral,11.0551654599844,7.28801091034001,7.13777894943332,5.70674400360545,5.70674400360545,5.70409192596884,5.6868720367146,5.68803104682519,5.68182259002698,5.37334286995743,48.6048163585333
R_Ankle_Lateral,8.73410184611157,4.99132358351915,4.9549784834863,3.75153183720412,3.75153183720412,3.70429786427131,3.70422554119544,3.70543274758947,3.70659172009494,5.02751012601662,57.5618445330458
R_Heel,7.85552283402404,4.69415352529315,4.72046630495949,3.46731488806716,3.46731488806716,3.38356959954072,3.40035392193073,3.36964113859407,3.39283169968838,4.46269113433566,56.8096004381368
R_Toe,3.84852328886077,2.71586216150701,2.74962489439353,2.06698927355493,2.06698927355493,2.06040411304115,2.0425437231114,2.04465605632994,2.04684330273288,1.80167998612789,46.8148391187525
L_Thigh_Lateral,11.4705507417083,6.96120784080234,7.14162710891927,5.97971338673426,5.97971338673426,6.00361735620487,6.01504752159592,6.01318751944378,5.99258508168044,5.47796566002782,47.7567798040359
L_Knee_Lateral,24.1421764446804,13.0407679987374,13.1350735625452,8.48607341690553,8.48607341690553,8.50622098612409,8.49492371152605,8.48342673128028,8.47850545171767,15.6636709929627,64.8809399138251
L_Shank_Lateral,9.49119708083621,7.0279021632239,7.40230268836754,6.31829503981127,6.31829503981127,6.260583790474,6.25416655821933,6.24150384440468,6.26049491430747,3.23070216652874,34.0389324867343
L_Ankle_Lateral,7.89362999033564,5.028617249959,5.08980201959287,3.89796740493577,3.89796740493577,3.80714377340732,3.80858809234537,3.8249253654237,3.82331111999655,4.07031887033908,51.5646017779206
L_Heel,7.8135946351182,4.888463982128,4.86807401046498,3.61628401724402,3.61628401724402,3.50563707740754,3.51612660262703,3.52064617917966,3.50754044700547,4.30605418811273,55.1097719960948
L_Toe,3.97969663693069,3.06505243917157,3.03853521007248,2.45926655130559,2.45926655130559,2.45206955735911,2.43257066807313,2.42661608899446,2.44111331267804,1.53858332425265,38.6608192688594
R_Shoulder,6.96270363798005,5.96415015652187,5.9623512231421,5.82350935242007,5.82350935242007,3.20339639159838,3.19796966732071,3.11092838617011,3.11432543072714,3.84837820725291,55.271319983531
L_Shoulder,6.10621574691805,4.05420983062447,4.05277685015711,3.86118951229198,3.86118951229198,2.97154045175946,2.9693306267038,2.93595849328134,2.93838806515281,3.16782768176524,51.8787382080975
C7,10.8436819948462,6.0631804464878,6.06759405964496,6.04233355283725,6.04233355283725,2.16829755299242,2.16666966781618,2.10099915032993,2.09876759300279,8.74491440184342,80.645249519487
J_Notch,3.16286254777388,4.00558627525618,3.99979109766352,3.94049442095636,3.94049442095636,1.9121595399005,1.90889358176647,1.90016217561949,1.90287303473611,1.25998951303777,39.8369987315632
Thoracic,14.0084511147841,9.04154703816473,9.03716199099625,8.9529435484636,8.9529435484636,2.22039247333386,2.21633507355468,2.15274913465073,2.1535336005577,11.8549175142264,84.626897128656
Sternum,19.4580277219904,17.1615452430511,17.1738859973046,17.0654622819951,17.0654622819951,4.34873850194492,4.3580655881824,4.37142898232307,4.37768541649883,15.0803423054915,77.5019057478707
R_Elbow,5.58239468240562,8.32167208262497,8.30928670857804,8.19344282802048,8.19344282802048,3.17680386262578,3.18069122194,2.75592754846585,2.76198015359201,2.82041452881361,50.5233809014415
L_Elbow,6.9482572583707,10.9841563343145,10.98936240823,10.9001898009877,10.9001898009877,3.25219876361541,3.25963014724839,3.058584902558,3.05741620233135,3.89084105603935,55.9973661215837
R_Wrist,4.40766699386191,4.8826578075756,4.87481627189544,4.72789249514702,4.72789249514702,3.69682823511186,3.68551059914252,2.64374815724239,2.64796638955207,1.75970060430984,39.9236286852067
L_Wrist,3.51736723281974,5.89174945650302,5.88649531966375,5.79142948115024,5.79142948115024,2.94458773378076,2.94099939790285,2.28152337496341,2.28645731941311,1.23090991340663,34.9952061280749
