Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,TVC32_3_JMP_01_pelvis_thigh_marker_adjustment,8.5623760676432,4.92238044301536,-3.63999562462783,10.7300353155638,6.06988128796678,-4.660154027597,42.14628,24.39363,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_01_TVC32_3_JMP_01_pelvis_thigh_marker_adjustment\TVC32_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_01_TVC32_3_JMP_01_pelvis_thigh_marker_adjustment\TVC32_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,TVC32_3_JMP_02_knee_ankle_joint_personalization,4.92238044301536,4.95466280338216,0.0322823603667987,6.06988128796678,6.06186017359116,-0.00802111437561877,24.39363,23.07412,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_02_TVC32_3_JMP_02_knee_ankle_joint_personalization\TVC32_3_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_02_TVC32_3_JMP_02_knee_ankle_joint_personalization\TVC32_3_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,TVC32_3_JMP_03_lower_limb_body_marker_personalization,4.95466280338216,4.61489314040729,-0.339769662974871,6.06186017359116,5.58140158926283,-0.480458584328322,23.07412,19.52112,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_03_TVC32_3_JMP_03_lower_limb_body_marker_personalization\TVC32_3_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_03_TVC32_3_JMP_03_lower_limb_body_marker_personalization\TVC32_3_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,TVC32_3_JMP_04_ankle_axis_personalization,4.61489314040729,4.61489314040729,0,5.58140158926283,5.58140158926283,0,19.52112,19.52112,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_04_TVC32_3_JMP_04_ankle_axis_personalization\TVC32_3_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_04_TVC32_3_JMP_04_ankle_axis_personalization\TVC32_3_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,TVC32_3_JMP_05_torso_marker_adjustment,4.61489314040729,3.95099937358581,-0.663893766821481,5.58140158926283,4.92745998475061,-0.653941604512227,19.52112,19.15739,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_05_TVC32_3_JMP_05_torso_marker_adjustment\TVC32_3_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_05_TVC32_3_JMP_05_torso_marker_adjustment\TVC32_3_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,TVC32_3_JMP_06_shoulder_elbow_joint_personalization,3.95099937358581,3.95286088483982,0.00186151125401279,4.92745998475061,4.92815267640916,0.000692691658549932,19.15739,19.10304,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_06_TVC32_3_JMP_06_shoulder_elbow_joint_personalization\TVC32_3_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_06_TVC32_3_JMP_06_shoulder_elbow_joint_personalization\TVC32_3_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,TVC32_3_JMP_07_upper_limb_body_marker_personalization,3.95286088483982,3.80866919018697,-0.144191694652852,4.92815267640916,4.84084638780405,-0.0873062886051048,19.10304,19.12515,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_07_TVC32_3_JMP_07_upper_limb_body_marker_personalization\TVC32_3_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_07_TVC32_3_JMP_07_upper_limb_body_marker_personalization\TVC32_3_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,TVC32_3_JMP_08_wrist_axis_personalization,3.80866919018697,3.80816685244731,-0.000502337739662073,4.84084638780405,4.8401882883371,-0.000658099466952639,19.12515,19.162,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_08_TVC32_3_JMP_08_wrist_axis_personalization\TVC32_3_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\Lucia\Desktop\TFG\2_JMP\TVC32\Walk_3\TVC32_3_JMP_results\TVC32_3_STO_and_Plots_ONLY\step_08_TVC32_3_JMP_08_wrist_axis_personalization\TVC32_3_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
