Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,SUBJ59_1_JMP_01_pelvis_thigh_marker_adjustment,5.69871271369863,4.68122688356164,-1.01748583013699,6.70108235731413,5.45031165188405,-1.25077070543007,20.77845,18.54349,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_01_SUBJ59_1_JMP_01_pelvis_thigh_marker_adjustment\SUBJ59_1_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_01_SUBJ59_1_JMP_01_pelvis_thigh_marker_adjustment\SUBJ59_1_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,SUBJ59_1_JMP_02_knee_ankle_joint_personalization,4.68122688356164,4.69174187808219,0.010514994520548,5.45031165188405,5.41669132122475,-0.0336203306593053,18.54349,15.73282,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_02_SUBJ59_1_JMP_02_knee_ankle_joint_personalization\SUBJ59_1_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_02_SUBJ59_1_JMP_02_knee_ankle_joint_personalization\SUBJ59_1_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,SUBJ59_1_JMP_03_lower_limb_body_marker_personalization,4.69174187808219,4.4688995890411,-0.222842289041094,5.41669132122475,5.21993747472233,-0.196753846502419,15.73282,14.40275,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_03_SUBJ59_1_JMP_03_lower_limb_body_marker_personalization\SUBJ59_1_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_03_SUBJ59_1_JMP_03_lower_limb_body_marker_personalization\SUBJ59_1_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,SUBJ59_1_JMP_04_ankle_axis_personalization,4.4688995890411,4.4688995890411,0,5.21993747472233,5.21993747472233,0,14.40275,14.40275,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_04_SUBJ59_1_JMP_04_ankle_axis_personalization\SUBJ59_1_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_04_SUBJ59_1_JMP_04_ankle_axis_personalization\SUBJ59_1_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,SUBJ59_1_JMP_05_torso_marker_adjustment,4.4688995890411,3.54651789726027,-0.922381691780822,5.21993747472233,4.17471825868149,-1.04521921604083,14.40275,14.32542,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_05_SUBJ59_1_JMP_05_torso_marker_adjustment\SUBJ59_1_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_05_SUBJ59_1_JMP_05_torso_marker_adjustment\SUBJ59_1_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,SUBJ59_1_JMP_06_shoulder_elbow_joint_personalization,3.54651789726027,3.54802395068493,0.00150605342465627,4.17471825868149,4.17455523183323,-0.000163026848264136,14.32542,14.32614,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_06_SUBJ59_1_JMP_06_shoulder_elbow_joint_personalization\SUBJ59_1_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_06_SUBJ59_1_JMP_06_shoulder_elbow_joint_personalization\SUBJ59_1_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,SUBJ59_1_JMP_07_upper_limb_body_marker_personalization,3.54802395068493,3.45536290547945,-0.0926610452054799,4.17455523183323,4.08987522865813,-0.0846800031751001,14.32614,14.37534,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_07_SUBJ59_1_JMP_07_upper_limb_body_marker_personalization\SUBJ59_1_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_07_SUBJ59_1_JMP_07_upper_limb_body_marker_personalization\SUBJ59_1_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,SUBJ59_1_JMP_08_wrist_axis_personalization,3.45536290547945,3.45546600821918,0.000103102739728612,4.08987522865813,4.08942143756608,-0.000453791092052194,14.37534,14.30122,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_08_SUBJ59_1_JMP_08_wrist_axis_personalization\SUBJ59_1_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ59\Walk_1\SUBJ59_1_JMP_results\SUBJ59_1_STO_and_Plots_ONLY\step_08_SUBJ59_1_JMP_08_wrist_axis_personalization\SUBJ59_1_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
