Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,5.08022528848596,2.65810829679642,2.67414757413233,2.5043152364945,2.5043152364945,2.07287240683459,2.06944624579405,2.07489139591788,2.07489139591788,3.00533389256808,59.1574924714362
L_Asis,5.68343222342784,3.74572031549782,3.74281164929459,3.3235958303468,3.3235958303468,2.47371447025002,2.50224106138296,2.53907082446246,2.53907082446246,3.14436139896538,55.3250443632268
Sacral,13.8668875237429,7.13902642555488,7.12789357450542,7.07775458397547,7.07775458397547,2.80027381527067,2.82047061448325,2.6340777026967,2.6340777026967,11.2328098210462,81.004549880522
R_Thigh_Lateral,8.30813109230097,6.24663822379794,6.25427728702623,5.99972706863336,5.99972706863336,6.07865913742013,6.10185159316842,6.06858624249559,6.06858624249559,2.23954484980538,26.9560605739687
R_Knee_Lateral,5.52176027769825,3.28920236779724,3.30553560770455,3.07505819278588,3.07505819278588,2.43637177745898,2.4187332920071,2.47017994942649,2.47017994942649,3.05158032827176,55.2646289372021
R_Shank_Lateral,6.40648511284807,6.04738082080375,5.89937762639336,5.40713771928246,5.40713771928246,5.08677653449662,5.07647019216887,5.11303036740741,5.11303036740741,1.29345474544065,20.1897721239788
R_Ankle_Lateral,3.79354569617674,2.99569318338393,2.99359931195856,2.90399669159917,2.90399669159917,2.81933642703804,2.8210562642409,2.81792541108271,2.81792541108271,0.975620285094029,25.7178999076587
R_Heel,5.30537844852297,3.87079401948582,3.88821370319006,3.57673173619078,3.57673173619078,3.48265967558832,3.47644400932285,3.48672121910864,3.48672121910864,1.81865722941433,34.2795004552531
R_Toe,6.08969283188233,3.75056589556928,3.69718704484891,3.3751128962385,3.3751128962385,3.49356757259304,3.48051513014218,3.45737144150736,3.45737144150736,2.63232139037497,43.2258483809489
L_Thigh_Lateral,11.7608294229235,8.8433757789583,8.81829694138353,8.38389075273668,8.38389075273668,8.37341818105245,8.38025195210749,8.37186915924706,8.37186915924706,3.3889602636764,28.8156569728905
L_Knee_Lateral,5.43317529385149,3.85850495343535,3.8179369324206,4.17478822098296,4.17478822098296,3.48773862646692,3.49328019565451,3.49176402629914,3.49176402629914,1.94141126755236,35.7325350748277
L_Shank_Lateral,9.530102515986,8.79949321200666,8.62269578590439,7.08774408753141,7.08774408753141,6.72410130110281,6.72260291194454,6.74292040768085,6.74292040768085,2.78718210830515,29.2460873703076
L_Ankle_Lateral,4.16221545198782,3.24136427244128,3.23081857411283,2.83020999770407,2.83020999770407,3.05123106292583,3.04088966734921,2.96812233330095,2.96812233330095,1.19409311868688,28.6888829389308
L_Heel,6.94568022732285,4.37078027440266,4.38230453983188,3.68427197760364,3.68427197760364,3.59262638763675,3.58280210666101,3.55318216789276,3.55318216789276,3.39249805943009,48.8432802605095
L_Toe,7.12649735478323,3.3715168732996,3.36383267206139,2.51770302472581,2.51770302472581,2.65197906897517,2.6474220364218,2.61578040947049,2.61578040947049,4.51071694531275,63.2950062387268
R_Shoulder,18.2585355592365,18.2062194945911,18.2109859945679,18.1935822933216,18.1935822933216,2.3489260678347,2.35190127059528,2.07258877458795,2.07258877458795,16.1859467846486,88.6486582241834
L_Shoulder,19.3025346368113,19.2909086567757,19.2876466690497,19.2807523347001,19.2807523347001,1.75441516654122,1.7551031159129,1.6773250347261,1.6773250347261,17.6252096020852,91.3103379100933
C7,14.3656716455134,14.3360799636079,14.337199801955,14.3572317790463,14.3572317790463,1.60007877172205,1.6004462842673,1.53032988862188,1.53032988862188,12.8353417568915,89.3473140248209
J_Notch,13.9232342798167,13.9430995666835,13.9416046621848,13.9616048800504,13.9616048800504,1.51121745892469,1.51530932365109,1.44675384002008,1.44675384002008,12.4764804397966,89.6090677572142
Thoracic,8.64410030389197,8.35793379630097,8.35696506450146,8.4059460751539,8.4059460751539,1.7896077134842,1.79165253588823,1.76345687153026,1.76345687153026,6.88064343236171,79.5993011472082
Sternum,14.9932442000857,14.9709778327796,14.9694409359327,14.9826232193647,14.9826232193647,3.28047280102686,3.28393490571936,3.27757614481662,3.27757614481662,11.715668055269,78.1396467563845
R_Elbow,14.5287667737534,14.5144641510644,14.5162150307566,14.4700211139804,14.4700211139804,3.97493012267758,3.96265873692837,1.68880113624721,1.68880113624721,12.8399656375062,88.376156334906
L_Elbow,17.0314036024483,16.9844906393023,16.9820526615299,16.9558320598621,16.9558320598621,3.26723408842736,3.28461371197835,1.71394754720014,1.71394754720014,15.3174560552481,89.9365455296136
R_Wrist,6.02668173867121,5.66760470347936,5.66031110675053,5.69000720269197,5.69000720269197,6.45290367859894,6.4396246831697,2.65653442951743,2.65653442951743,3.37014730915379,55.9204460313321
L_Wrist,9.61593616328409,9.46452108341991,9.47223201596863,9.42150024382421,9.42150024382421,4.68381107606541,4.70896664865007,2.54949777427353,2.54949777427353,7.06643838901056,73.4867439739449
