Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,TVC60_3_JMP_01_pelvis_thigh_marker_adjustment,7.80608930018417,6.0299076836505,-1.77618161653367,9.76748405261381,7.84404992437917,-1.92343412823464,37.42664,29.93283,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_01_TVC60_3_JMP_01_pelvis_thigh_marker_adjustment\TVC60_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_01_TVC60_3_JMP_01_pelvis_thigh_marker_adjustment\TVC60_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,TVC60_3_JMP_02_knee_ankle_joint_personalization,6.0299076836505,6.08223960916718,0.0523319255166781,7.84404992437917,7.86406082112347,0.0200108967442943,29.93283,29.92004,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_02_TVC60_3_JMP_02_knee_ankle_joint_personalization\TVC60_3_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_02_TVC60_3_JMP_02_knee_ankle_joint_personalization\TVC60_3_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,TVC60_3_JMP_03_lower_limb_body_marker_personalization,6.08223960916718,5.77939107837119,-0.30284853079599,7.86406082112347,7.59372554009426,-0.270335281029211,29.92004,28.80805,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_03_TVC60_3_JMP_03_lower_limb_body_marker_personalization\TVC60_3_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_03_TVC60_3_JMP_03_lower_limb_body_marker_personalization\TVC60_3_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,TVC60_3_JMP_04_ankle_axis_personalization,5.77939107837119,5.77939107837119,0,7.59372554009426,7.59372554009426,0,28.80805,28.80805,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_04_TVC60_3_JMP_04_ankle_axis_personalization\TVC60_3_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_04_TVC60_3_JMP_04_ankle_axis_personalization\TVC60_3_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,TVC60_3_JMP_05_torso_marker_adjustment,5.77939107837119,3.66615223859219,-2.113238839779,7.59372554009426,4.95753432191717,-2.63619121817709,28.80805,28.55477,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_05_TVC60_3_JMP_05_torso_marker_adjustment\TVC60_3_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_05_TVC60_3_JMP_05_torso_marker_adjustment\TVC60_3_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,TVC60_3_JMP_06_shoulder_elbow_joint_personalization,3.66615223859219,3.6673723797831,0.00122014119091282,4.95753432191717,4.95728737345524,-0.000246948461924204,28.55477,28.59197,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_06_TVC60_3_JMP_06_shoulder_elbow_joint_personalization\TVC60_3_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_06_TVC60_3_JMP_06_shoulder_elbow_joint_personalization\TVC60_3_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,TVC60_3_JMP_07_upper_limb_body_marker_personalization,3.6673723797831,3.62607908737467,-0.0412932924084299,4.95728737345524,4.92872301297245,-0.0285643604827964,28.59197,28.55331,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_07_TVC60_3_JMP_07_upper_limb_body_marker_personalization\TVC60_3_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_07_TVC60_3_JMP_07_upper_limb_body_marker_personalization\TVC60_3_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,TVC60_3_JMP_08_wrist_axis_personalization,3.62607908737467,3.62399918354819,-0.00207990382647882,4.92872301297245,4.92753394253613,-0.0011890704363195,28.55331,28.2143,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_08_TVC60_3_JMP_08_wrist_axis_personalization\TVC60_3_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC60\Walk_3\TVC60_3_JMP_results\TVC60_3_STO_and_Plots_ONLY\step_08_TVC60_3_JMP_08_wrist_axis_personalization\TVC60_3_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
