Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,7.75905001156332,5.33355594612096,5.28609656032234,5.02239900054204,5.02239900054204,4.44075853769372,4.45377280555982,4.48828721100713,4.45811025686513,3.30093975469819,42.5430916127464
L_Asis,5.34789890265581,4.80447132124755,4.82101185215303,4.53575148669558,4.53575148669558,4.16452237823766,4.16492619497325,4.17847667671858,4.16748528803035,1.18041361462545,22.0724743700605
Sacral,4.81559829088757,5.51423478633395,5.49507088234297,5.44601284984716,5.44601284984716,4.02374412375879,4.02461333308787,4.00214127936929,4.00048815493437,0.815110135953198,16.9264562099295
R_Thigh_Lateral,7.56837085353174,6.14527689537887,6.11163074271634,5.81495946573267,5.81495946573267,5.61855005492396,5.62375954943753,5.61082995698706,5.62089705826261,1.94747379526912,25.7317437657055
R_Knee_Lateral,15.4791186437975,6.84320209560926,6.92477208064905,5.59828755496452,5.59828755496452,5.32853074887748,5.31609349802157,5.3020035734473,5.3041068224773,10.1750118213202,65.7337930890358
R_Shank_Lateral,11.2238817058392,8.87679314217843,8.63610496208145,7.44651439102395,7.44651439102395,7.48230638916703,7.48186602344846,7.4900504416451,7.49524838883673,3.72863331700248,33.2205329201096
R_Ankle_Lateral,6.17367983305841,2.73809795476962,2.76287681859148,2.35691534221289,2.35691534221289,2.34561828547694,2.34151502163111,2.34028660870061,2.3369986298265,3.83668120323191,62.1457754042816
R_Heel,6.73075545574705,3.42616991131447,3.38263016016592,2.9801270905342,2.9801270905342,2.96014970998173,2.95477264412679,2.97811572965664,2.97319540048788,3.75756005525917,55.8267207888348
R_Toe,7.06999192356591,3.57084386011602,3.75279986235636,2.48268023898952,2.48268023898952,2.49181071486141,2.4954769747312,2.50271083700545,2.49318279531288,4.57680912825303,64.7357051851427
L_Thigh_Lateral,9.99013791220697,7.87808729984494,7.79550382526533,7.24270032383602,7.24270032383602,7.10137559412737,7.11361156979836,7.11132484972032,7.09027290892564,2.89986500328133,29.0272769882183
L_Knee_Lateral,15.7246374763472,7.45072011765757,7.52113127695296,6.20312524188166,6.20312524188166,5.83896812622088,5.81499068208426,5.83332268867982,5.84125721796155,9.88338025838566,62.8528337982488
L_Shank_Lateral,12.3887469776692,10.3397284401818,10.1703188095928,8.62658078389729,8.62658078389729,8.6190078126018,8.59877009777754,8.61124370884211,8.61343536160489,3.77531161606433,30.4737163723607
L_Ankle_Lateral,8.02502698763026,4.17247984604455,4.02188632593055,3.66078894958136,3.66078894958136,3.61983371086699,3.6122689485548,3.61190036112372,3.61559986847419,4.40942711915607,54.9459475457558
L_Heel,7.24440370705572,4.78671109540479,4.78004670398724,3.99704812754466,3.99704812754466,3.93992739220355,3.95525915203671,3.93791718496811,3.94107369335489,3.30333001370083,45.5983700975076
L_Toe,8.63346504605357,4.34744318644549,4.44410781773596,3.22748519418442,3.22748519418442,3.19223742054573,3.22155807986142,3.18893727615608,3.1974415957597,5.43602345029386,62.964561984052
R_Shoulder,7.22887774170913,7.55642310523281,7.54077083343561,7.61757651526751,7.61757651526751,3.09809155745531,3.09235305162846,3.10701710601658,3.10252462336973,4.1263531183394,57.0815175712711
L_Shoulder,7.01949094267703,5.13737592018826,5.14280270220773,5.08182892939971,5.08182892939971,2.81156572285259,2.81110717335775,2.84224414046817,2.83607430513084,4.18341663754619,59.5971512992758
C7,7.3679711122098,5.05376826670014,5.07345589266487,4.97636468281643,4.97636468281643,3.07623161498727,3.07187221862302,3.06575168850464,3.07206947897231,4.29590163323749,58.3050824686128
J_Notch,5.71009360235705,5.36981736309297,5.37882971860601,5.35811088709532,5.35811088709532,2.48321727215609,2.47939767557144,2.47329178661243,2.47092882750245,3.23916477485459,56.7269995980016
Thoracic,9.03938854861974,5.92445219927649,5.94046103582097,5.84075806723666,5.84075806723666,3.29147383250714,3.28375934459266,3.29676894794431,3.3007217118443,5.73866683677544,63.485121874219
Sternum,7.76808486592394,6.89742565218965,6.91369766339427,6.83233185293271,6.83233185293271,4.52988412512247,4.53629177147595,4.54767294806397,4.54017325641879,3.22791160950516,41.5535059827288
R_Elbow,4.7657611924792,5.88085015997299,5.85083031828098,5.99311864063771,5.99311864063771,2.30805651777225,2.36064034161944,2.29289099609271,2.28322222041033,2.48253897206887,52.0911323879707
L_Elbow,5.28539954333327,5.47378002653983,5.45956279265598,5.49248224577019,5.49248224577019,1.72449856178663,1.76880278378801,1.75622840521418,1.71248696900361,3.57291257432966,67.5996685782506
R_Wrist,4.64701077738083,5.39332156165676,5.37453420802191,5.46025377961656,5.46025377961656,2.82081907524747,2.81674704654092,2.76672793309449,2.75991874642667,1.88709203095416,40.6087293823272
L_Wrist,5.25662720580218,5.80471226287057,5.78626811380387,5.82871525676424,5.82871525676424,2.72490827661874,2.7142936693325,2.66307652829254,2.63999041353112,2.61663679227106,49.7778649660158
