Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,SUBJ32_2_JMP_01_pelvis_thigh_marker_adjustment,6.12829807226464,4.65091075318066,-1.47738731908398,7.42444164452219,5.68471032711276,-1.73973131740943,63.03826,66.03736,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_01_SUBJ32_2_JMP_01_pelvis_thigh_marker_adjustment\SUBJ32_2_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_01_SUBJ32_2_JMP_01_pelvis_thigh_marker_adjustment\SUBJ32_2_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,SUBJ32_2_JMP_02_knee_ankle_joint_personalization,4.65091075318066,4.65001053333334,-0.000900219847324232,5.68471032711276,5.68281408933609,-0.0018962377766607,66.03736,65.77503,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_02_SUBJ32_2_JMP_02_knee_ankle_joint_personalization\SUBJ32_2_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_02_SUBJ32_2_JMP_02_knee_ankle_joint_personalization\SUBJ32_2_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,SUBJ32_2_JMP_03_lower_limb_body_marker_personalization,4.65001053333334,4.57687216488549,-0.0731383684478438,5.68281408933609,5.63782298554877,-0.044991103787328,65.77503,68.32049,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_03_SUBJ32_2_JMP_03_lower_limb_body_marker_personalization\SUBJ32_2_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_03_SUBJ32_2_JMP_03_lower_limb_body_marker_personalization\SUBJ32_2_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,SUBJ32_2_JMP_04_ankle_axis_personalization,4.57687216488549,4.57687216488549,0,5.63782298554877,5.63782298554877,0,68.32049,68.32049,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_04_SUBJ32_2_JMP_04_ankle_axis_personalization\SUBJ32_2_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_04_SUBJ32_2_JMP_04_ankle_axis_personalization\SUBJ32_2_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,SUBJ32_2_JMP_05_torso_marker_adjustment,4.57687216488549,3.93327860254453,-0.643593562340966,5.63782298554877,4.84823544035398,-0.789587545194782,68.32049,66.51537,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_05_SUBJ32_2_JMP_05_torso_marker_adjustment\SUBJ32_2_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_05_SUBJ32_2_JMP_05_torso_marker_adjustment\SUBJ32_2_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,SUBJ32_2_JMP_06_shoulder_elbow_joint_personalization,3.93327860254453,3.93750041628499,0.00422181374046607,4.84823544035398,4.85121009550895,0.00297465515496868,66.51537,66.47921,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_06_SUBJ32_2_JMP_06_shoulder_elbow_joint_personalization\SUBJ32_2_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_06_SUBJ32_2_JMP_06_shoulder_elbow_joint_personalization\SUBJ32_2_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,SUBJ32_2_JMP_07_upper_limb_body_marker_personalization,3.93750041628499,3.85167477659033,-0.08582563969466,4.85121009550895,4.75800302486979,-0.0932070706391661,66.47921,66.85619,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_07_SUBJ32_2_JMP_07_upper_limb_body_marker_personalization\SUBJ32_2_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_07_SUBJ32_2_JMP_07_upper_limb_body_marker_personalization\SUBJ32_2_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,SUBJ32_2_JMP_08_wrist_axis_personalization,3.85167477659033,3.85284407735369,0.00116930076335788,4.75800302486979,4.75944194503885,0.00143892016906278,66.85619,66.85327,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_08_SUBJ32_2_JMP_08_wrist_axis_personalization\SUBJ32_2_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ32\Walk_2\SUBJ32_2_JMP_results\SUBJ32_2_STO_and_Plots_ONLY\step_08_SUBJ32_2_JMP_08_wrist_axis_personalization\SUBJ32_2_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
