
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 2.000000e+03.

Joint Model Personalization Runtime: 3.311798 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         77           2.73413                             25.1
     1        154           2.51201      0.00868195             22.3      
     2        231           2.27351      0.00560183             19.5      
     3        308           2.09404      0.00652467             16.4      
     4        385           1.96563      0.00516598             12.8      
     5        462           1.86703      0.00451896             10.6      
     6        539           1.78908      0.00482767             9.78      
     7        616           1.72114      0.00459027             7.97      
     8        693           1.67404      0.00485953             7.97      
     9        770           1.62676        0.003997             6.52      
    10        847           1.59089      0.00424624             5.81      
    11        924           1.55923      0.00323294             5.52      
    12       1001           1.52852      0.00414287             5.76      
    13       1078           1.50161      0.00334162             5.22      
    14       1155           1.47488      0.00386703             5.73      
    15       1232           1.44473      0.00414357             4.52      
    16       1309           1.41833      0.00417739             4.12      
    17       1386           1.39859      0.00450521             4.97      
    18       1463           1.37187      0.00534313             4.34      
    19       1540           1.35125      0.00486864             3.76      
    20       1617           1.33266      0.00391201                4      
    21       1694           1.31034      0.00414972             3.58      
    22       1771            1.2939      0.00447569             3.76      
    23       1848           1.27873      0.00278731             4.31      
    24       1925           1.26131      0.00397702             3.78      
    25       2002           1.24449      0.00359168             4.08      
    26       2079           1.22696      0.00398265             2.62      
    27       2156           1.21403      0.00309108             3.17      
    28       2233           1.19952       0.0043725             2.78      
    29       2310           1.18769      0.00377402             3.17      
    30       2387           1.17214      0.00448822             3.51      
    31       2464            1.1578      0.00553921             3.44      
    32       2541           1.14116      0.00534213             2.59      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 2.500000e+03.

Joint Model Personalization Runtime: 4.474883 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0          9         0.0342085                                0

<a href = "matlab: helpview('optim','lsq_init_pt_min','CSHelpWindow');">Initial point is a local minimum</a>.

Optimization completed because the <a href = "matlab: helpview('optim','lsq_grad_size','CSHelpWindow');">size of the gradient</a> at the initial point 
is less than the value of the <a href = "matlab: helpview('optim','optimality_tolerance_lsq','CSHelpWindow');">optimality tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit100basic'},{'optimlib:snls:Exit100detailed','0.000000e+00','1.000000e-03'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.012144 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         45           3.76191                             38.8
     1         90           1.01248       0.0698799             15.8      
     2        135          0.715456       0.0353557             11.6      
     3        180          0.651508       0.0196137             10.9      
     4        225          0.546331      0.00490342             1.56      
     5        270          0.533611      0.00980685              2.8      
     6        315          0.533611      0.00943931              2.8      
     7        360          0.524814      0.00235983             1.53      
     8        405          0.523357      0.00235983             2.29      
     9        450          0.519494     0.000589957             1.33      
    10        495          0.516829      0.00117991            0.976      
    11        540          0.514809      0.00117991             1.01      
    12        585          0.512732      0.00117991            0.978      
    13        630           0.51046      0.00117991            0.867      
    14        675          0.508454      0.00117991            0.846      
    15        720          0.506691      0.00117991            0.943      
    16        765          0.504665      0.00117991            0.961      
    17        810          0.502944      0.00117991            0.948      
    18        855          0.500952      0.00117991             0.79      
    19        900          0.499467      0.00117991             1.13      
    20        945          0.497689      0.00117991            0.997      
    21        990          0.496308      0.00117991         1.66e+03      
    22       1035          0.494816      0.00117991             0.91      
    23       1080          0.494032     0.000294978            0.578      
    24       1125          0.492865     0.000589957             0.63      
    25       1170          0.490874      0.00117991            0.557      
    26       1215           0.48889      0.00235983             1.38      
    27       1260           0.48889      0.00235983             1.38      
    28       1305          0.487299     0.000589957            0.536      
    29       1350          0.486212     0.000589957             0.48      
    30       1395          0.484439      0.00117991            0.724      
    31       1440          0.482392      0.00235983            0.647      
    32       1485          0.479853      0.00471966             1.73      
    33       1530          0.479853      0.00471966             1.73      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

