Marker,RMS_State00_mm,RMS_State01_mm,RMS_State02_mm,RMS_State03_mm,RMS_State04_mm,RMS_State05_mm,RMS_State06_mm,RMS_State07_mm,RMS_State08_mm,Improvement_mm,Improvement_pct
R_Asis,10.3314128021544,5.22787722171093,5.39571172060642,4.67863490757278,4.67863490757278,4.84428856579524,4.84531610829469,4.84040615403894,4.85409134558645,5.47732145656793,53.0161901519002
L_Asis,8.89943869949511,5.36129321433681,5.4550417397172,5.16387158648399,5.16387158648399,5.10452772774301,5.08436799039161,5.11731197157673,5.10210097027604,3.79733772921907,42.6694071102991
R_Psis,3.22835780307575,2.64388847098653,2.58692476248114,2.6003609464133,2.6003609464133,2.34728601243051,2.34274482584045,2.31762204166873,2.32100687309998,0.907350929975774,28.1056495383291
L_Psis,5.08431937612241,3.83305219279602,3.76709183890252,3.72196812787096,3.72196812787096,3.23933750190311,3.24478252300171,3.19776706419188,3.19547409562553,1.88884528049688,37.1504058019546
Sacral,3.00883202302554,2.78873786926068,2.73672832000657,2.75751864178459,2.75751864178459,2.33551893063233,2.33827016539899,2.29641643313041,2.29621049130978,0.712621531715761,23.6843242248925
R_Thigh_Lateral,7.35357623587255,5.2571266770612,5.60554297362976,5.24274129825412,5.24274129825412,5.20463001132592,5.20406357058475,5.19339533549858,5.19281456382387,2.16076167204868,29.3838209157056
R_Knee_Lateral,17.767762235667,6.83910201778022,7.00429305501442,5.62208156694172,5.62208156694172,5.62012529741821,5.62713518194438,5.59691841219204,5.59743134807253,12.1703308875945,68.4967005195722
R_Shank_Lateral,9.34035723326655,6.20491692522193,6.70424308471716,5.55984082069007,5.55984082069007,5.5644429692309,5.56895882536915,5.56570750751977,5.55358114180023,3.78677609146633,40.5420905956291
R_Ankle_Lateral,6.8663554920396,3.41991034812366,3.30876167739099,2.75290225018778,2.75290225018778,2.72999616624799,2.73309249540704,2.7270710870234,2.73413847953946,4.13221701250014,60.1806448455918
R_Heel,7.21348233106357,4.53837185208218,4.4650560987839,3.97202699938934,3.97202699938934,3.95692680215578,3.94909411864256,3.95139058582926,3.94961266639384,3.26386966466973,45.2467964136331
R_Toe,3.60248287118215,2.46361418388823,2.46281364933826,2.25892476747247,2.25892476747247,2.27801140878538,2.28101294314585,2.24450890929569,2.27315141095253,1.32933146022962,36.9004241731038
L_Thigh_Lateral,16.7912769288316,13.4172623802363,13.3171818232103,12.7695655013758,12.7695655013758,12.7085484026534,12.6933001826802,12.6841027490333,12.6852897704961,4.10598715833553,24.4530965437495
L_Knee_Lateral,13.2022278783952,8.0992103712589,8.20315280408859,7.09306894710698,7.09306894710698,6.95383885091446,6.98153465332872,6.94459069058924,6.94373299555611,6.25849488283908,47.4048390959893
L_Shank_Lateral,13.5613126539063,11.9233664096236,11.750988412079,11.1955923185586,11.1955923185586,11.1786853533725,11.1790830470551,11.1760624005413,11.1629595862602,2.39835306764609,17.6852575326124
L_Ankle_Lateral,6.37786021525613,5.25114061018765,5.20115566347423,4.49073166622758,4.49073166622758,4.4654434117542,4.47626915656485,4.47263601371478,4.48522128918884,1.89263892606729,29.6751396579688
L_Heel,5.93270906716856,4.53771884425691,4.61245730686136,4.30416611050457,4.30416611050457,4.30750106776597,4.31787032756353,4.32614607160036,4.32588664014571,1.60682242702285,27.0841264729288
L_Toe,7.93812796635258,5.33523879655408,5.33226958783124,4.6008955410429,4.6008955410429,4.58079464894098,4.57823197709655,4.58501136864319,4.57555651140265,3.36257145494992,42.3597537001531
R_Shoulder,16.9439149346964,17.0169819779302,17.0290817257048,17.0581434684048,17.0581434684048,4.16106100893618,4.13757041255336,4.20903084712854,4.21531130249958,12.7286036321969,75.1219755366702
L_Shoulder,12.4248717287512,12.8055293290916,12.813626894199,12.8037281315101,12.8037281315101,2.4463061049214,2.45235777652426,2.44959197260917,2.44991924723633,9.97495248151488,80.2821365023254
C7,17.9635807696599,17.3259836289412,17.3097071879587,17.2757258895479,17.2757258895479,1.8939390360204,1.8969189823837,1.88847393545235,1.88885685747107,16.0747239121888,89.4850760452988
J_Notch,7.1165236031825,5.83588025539,5.85069909811281,5.81957628869911,5.81957628869911,1.66932398626374,1.67050688740942,1.68596978041051,1.68496377866982,5.43155982451268,76.3232180117226
Thoracic,4.52864861955791,5.73890350756039,5.74974285635367,5.81901092181751,5.81901092181751,2.60856710146337,2.61067925243879,2.59354398174119,2.59447304194621,1.9341755776117,42.7097737117108
Sternum,10.1167772640143,9.19646946289674,9.19207859051549,9.27368766827957,9.27368766827957,4.48197026361644,4.48788433428872,4.42924077854151,4.42510069897906,5.69167656503522,56.2597793398171
R_Elbow,4.33973692906399,4.08684695474694,4.09060250420487,4.1660289583245,4.1660289583245,2.06079596927206,2.08021120557239,2.08085193292481,2.0796254769605,2.26011145210349,52.0794575580635
L_Elbow,3.99593718035938,3.64256596588356,3.6542181176756,3.67008638708097,3.67008638708097,2.30120203926302,2.30282840908044,2.22340447814118,2.21633706290444,1.77960011745494,44.5352375958746
R_Wrist,4.3219051495372,4.47020647450564,4.49362717354538,4.50343691962229,4.50343691962229,2.95603397078348,2.92359256320661,2.36588258104152,2.35582240588496,1.96608274365223,45.4911127298286
L_Wrist,2.29742813881917,2.18907295957401,2.19024373838263,2.22036327667331,2.22036327667331,2.34844440210303,2.35463852968317,1.71519082045221,1.71556971224483,0.581858426574337,25.3265125791225
