Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,14.4789727166197,9.18279805070424,-5.29617466591549,18.30272111636,11.8378887908462,-6.46483232551378,57.59292,36.2223,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_01_SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment\SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_01_SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment\SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,SUBJ26_3_JMP_02_knee_ankle_joint_personalization,9.18279805070424,10.3096874321127,1.12688938140843,11.8378887908462,13.9558532881357,2.11796449728952,36.2223,43.28758,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_02_SUBJ26_3_JMP_02_knee_ankle_joint_personalization\SUBJ26_3_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_02_SUBJ26_3_JMP_02_knee_ankle_joint_personalization\SUBJ26_3_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,SUBJ26_3_JMP_03_lower_limb_body_marker_personalization,10.3096874321127,6.36966287098591,-3.94002456112676,13.9558532881357,7.6370598259642,-6.3187934621715,43.28758,25.56178,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_03_SUBJ26_3_JMP_03_lower_limb_body_marker_personalization\SUBJ26_3_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_03_SUBJ26_3_JMP_03_lower_limb_body_marker_personalization\SUBJ26_3_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,SUBJ26_3_JMP_04_ankle_axis_personalization,6.36966287098591,6.36966287098591,0,7.6370598259642,7.6370598259642,0,25.56178,25.56178,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_04_SUBJ26_3_JMP_04_ankle_axis_personalization\SUBJ26_3_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_04_SUBJ26_3_JMP_04_ankle_axis_personalization\SUBJ26_3_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,SUBJ26_3_JMP_05_torso_marker_adjustment,6.36966287098591,4.6350921228169,-1.73457074816901,7.6370598259642,5.79014408913381,-1.84691573683039,25.56178,23.27602,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_05_SUBJ26_3_JMP_05_torso_marker_adjustment\SUBJ26_3_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_05_SUBJ26_3_JMP_05_torso_marker_adjustment\SUBJ26_3_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,SUBJ26_3_JMP_06_shoulder_elbow_joint_personalization,4.6350921228169,4.63411766422535,-0.000974458591551826,5.79014408913381,5.79193502772585,0.00179093859203547,23.27602,23.43871,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_06_SUBJ26_3_JMP_06_shoulder_elbow_joint_personalization\SUBJ26_3_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_06_SUBJ26_3_JMP_06_shoulder_elbow_joint_personalization\SUBJ26_3_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,SUBJ26_3_JMP_07_upper_limb_body_marker_personalization,4.63411766422535,4.62034726647887,-0.0137703977464787,5.79193502772585,5.78453012497802,-0.00740490274783213,23.43871,23.46657,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_07_SUBJ26_3_JMP_07_upper_limb_body_marker_personalization\SUBJ26_3_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_07_SUBJ26_3_JMP_07_upper_limb_body_marker_personalization\SUBJ26_3_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,SUBJ26_3_JMP_08_wrist_axis_personalization,4.62034726647887,4.62017476732394,-0.000172499154925398,5.78453012497802,5.78311346922733,-0.00141665575068353,23.46657,23.25524,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_08_SUBJ26_3_JMP_08_wrist_axis_personalization\SUBJ26_3_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\SUBJ26\Walk_3\SUBJ26_3_JMP_results\SUBJ26_3_STO_and_Plots_ONLY\step_08_SUBJ26_3_JMP_08_wrist_axis_personalization\SUBJ26_3_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
