Step,StepName,Marker,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Asis,24.6208518028169,6.44857890140845,-18.1722729014085,26.3655220753239,7.15461957519104,-19.2109025001329,45.39591,14.85216
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,L_Asis,13.2258198309859,7.8102318028169,-5.41558802816902,16.5281153095907,9.76512397330166,-6.762991336289,37.48097,23.6733
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,Sacral,14.2063283661972,5.60871608450704,-8.59761228169014,16.3232103435783,6.06061004371344,-10.2626002998648,29.52675,11.62961
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Thigh_Lateral,27.8276250422535,8.76141481690141,-19.0662102253521,28.7579894463387,9.20573576798007,-19.5522536783586,41.55469,17.14887
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Knee_Lateral,17.557886,6.33023538028169,-11.2276506197183,19.1837555584622,7.06329513758151,-12.1204604208807,32.78527,15.05904
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Shank_Lateral,29.8319782816901,24.0748487605634,-5.75712952112676,30.7709755646604,24.3448197013322,-6.42615586332825,44.40528,29.64449
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Ankle_Lateral,28.7566937464789,21.1708207605634,-7.58587298591549,28.9545973115286,21.2487689701357,-7.70582834139292,35.09204,24.24772
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Heel,43.3577717464789,29.7308943661972,-13.6268773802817,44.1018954717833,29.9537912681652,-14.1481042036181,57.59292,36.2223
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,R_Toe,18.7559950985915,16.4624872957747,-2.2935078028169,19.0733674682364,16.500687185541,-2.57268028269543,25.15964,19.4582
1,SUBJ26_3_JMP_01_pelvis_thigh_marker_adjustment,L_Thigh_Lateral,11.8690411830986,8.90130588732394,-2.96773529577465,12.1968378027152,9.60802352465068,-2.58881427806447,20.18819,17.95644
