Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,SUBJ51_1_JMP_01_pelvis_thigh_marker_adjustment,7.76895256289593,7.28853734117647,-0.48041522171946,9.04484108503847,8.58674497301722,-0.458096112021246,23.71666,23.88972,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_01_SUBJ51_1_JMP_01_pelvis_thigh_marker_adjustment\SUBJ51_1_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_01_SUBJ51_1_JMP_01_pelvis_thigh_marker_adjustment\SUBJ51_1_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,SUBJ51_1_JMP_02_knee_ankle_joint_personalization,7.28853734117647,7.28498325791855,-0.00355408325791902,8.58674497301722,8.5738998592194,-0.0128451137978193,23.88972,23.83435,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_02_SUBJ51_1_JMP_02_knee_ankle_joint_personalization\SUBJ51_1_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_02_SUBJ51_1_JMP_02_knee_ankle_joint_personalization\SUBJ51_1_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,SUBJ51_1_JMP_03_lower_limb_body_marker_personalization,7.28498325791855,6.9910588199095,-0.293924438009049,8.5738998592194,8.38585340029288,-0.188046458926519,23.83435,23.70184,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_03_SUBJ51_1_JMP_03_lower_limb_body_marker_personalization\SUBJ51_1_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_03_SUBJ51_1_JMP_03_lower_limb_body_marker_personalization\SUBJ51_1_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,SUBJ51_1_JMP_04_ankle_axis_personalization,6.9910588199095,6.9910588199095,0,8.38585340029288,8.38585340029288,0,23.70184,23.70184,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_04_SUBJ51_1_JMP_04_ankle_axis_personalization\SUBJ51_1_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_04_SUBJ51_1_JMP_04_ankle_axis_personalization\SUBJ51_1_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,SUBJ51_1_JMP_05_torso_marker_adjustment,6.9910588199095,5.08963519095022,-1.90142362895928,8.38585340029288,6.28972745404517,-2.09612594624772,23.70184,19.27759,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_05_SUBJ51_1_JMP_05_torso_marker_adjustment\SUBJ51_1_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_05_SUBJ51_1_JMP_05_torso_marker_adjustment\SUBJ51_1_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,SUBJ51_1_JMP_06_shoulder_elbow_joint_personalization,5.08963519095022,5.10087226606335,0.0112370751131317,6.28972745404517,6.29176235652853,0.0020349024833664,19.27759,19.31796,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_06_SUBJ51_1_JMP_06_shoulder_elbow_joint_personalization\SUBJ51_1_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_06_SUBJ51_1_JMP_06_shoulder_elbow_joint_personalization\SUBJ51_1_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,SUBJ51_1_JMP_07_upper_limb_body_marker_personalization,5.10087226606335,4.61943734117647,-0.481434924886882,6.29176235652853,5.62439472292393,-0.667367633604601,19.31796,18.29688,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_07_SUBJ51_1_JMP_07_upper_limb_body_marker_personalization\SUBJ51_1_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_07_SUBJ51_1_JMP_07_upper_limb_body_marker_personalization\SUBJ51_1_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,SUBJ51_1_JMP_08_wrist_axis_personalization,4.61943734117647,4.62097697013574,0.00153962895927187,5.62439472292393,5.62542006073093,0.00102533780699937,18.29688,18.21816,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_08_SUBJ51_1_JMP_08_wrist_axis_personalization\SUBJ51_1_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\lucia\Desktop\TFG\2_JMP\SUBJ51\Walk_1\SUBJ51_1_JMP_results\SUBJ51_1_STO_and_Plots_ONLY\step_08_SUBJ51_1_JMP_08_wrist_axis_personalization\SUBJ51_1_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
