Step,StepName,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm,InitialErrorFile,FinalErrorFile
1,TVC12_2_JMP_01_pelvis_thigh_marker_adjustment,8.03625077217439,4.74838792264589,-3.2878628495285,11.0050969179259,6.25133808692923,-4.75375883099668,44.21217,29.99333,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_01_TVC12_2_JMP_01_pelvis_thigh_marker_adjustment\TVC12_2_JMP_01_pelvis_thigh_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_01_TVC12_2_JMP_01_pelvis_thigh_marker_adjustment\TVC12_2_JMP_01_pelvis_thigh_marker_adjustment_task_1_finalErrors.sto
2,TVC12_2_JMP_02_knee_ankle_joint_personalization,4.74838792264589,4.74947216892169,0.00108424627580719,6.25133808692923,6.24346308435671,-0.00787500257251952,29.99333,29.83882,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_02_TVC12_2_JMP_02_knee_ankle_joint_personalization\TVC12_2_JMP_02_knee_ankle_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_02_TVC12_2_JMP_02_knee_ankle_joint_personalization\TVC12_2_JMP_02_knee_ankle_joint_personalization_task_1_finalErrors.sto
3,TVC12_2_JMP_03_lower_limb_body_marker_personalization,4.74947216892169,4.45529012983463,-0.294182039087064,6.24346308435671,5.77426868697061,-0.469194397386094,29.83882,26.47199,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_03_TVC12_2_JMP_03_lower_limb_body_marker_personalization\TVC12_2_JMP_03_lower_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_03_TVC12_2_JMP_03_lower_limb_body_marker_personalization\TVC12_2_JMP_03_lower_limb_body_marker_personalization_task_1_finalErrors.sto
4,TVC12_2_JMP_04_ankle_axis_personalization,4.45529012983463,4.45529012983463,0,5.77426868697061,5.77426868697061,0,26.47199,26.47199,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_04_TVC12_2_JMP_04_ankle_axis_personalization\TVC12_2_JMP_04_ankle_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_04_TVC12_2_JMP_04_ankle_axis_personalization\TVC12_2_JMP_04_ankle_axis_personalization_task_1_finalErrors.sto
5,TVC12_2_JMP_05_torso_marker_adjustment,4.45529012983463,3.99066618149514,-0.464623948339486,5.77426868697061,5.46216193587486,-0.31210675109575,26.47199,26.69108,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_05_TVC12_2_JMP_05_torso_marker_adjustment\TVC12_2_JMP_05_torso_marker_adjustment_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_05_TVC12_2_JMP_05_torso_marker_adjustment\TVC12_2_JMP_05_torso_marker_adjustment_task_1_finalErrors.sto
6,TVC12_2_JMP_06_shoulder_elbow_joint_personalization,3.99066618149514,3.98661670356704,-0.00404947792810671,5.46216193587486,5.45775965812264,-0.0044022777522211,26.69108,26.25403,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_06_TVC12_2_JMP_06_shoulder_elbow_joint_personalization\TVC12_2_JMP_06_shoulder_elbow_joint_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_06_TVC12_2_JMP_06_shoulder_elbow_joint_personalization\TVC12_2_JMP_06_shoulder_elbow_joint_personalization_task_1_finalErrors.sto
7,TVC12_2_JMP_07_upper_limb_body_marker_personalization,3.98661670356704,3.96553429547629,-0.0210824080907465,5.45775965812264,5.4530776935695,-0.00468196455314426,26.25403,26.66066,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_07_TVC12_2_JMP_07_upper_limb_body_marker_personalization\TVC12_2_JMP_07_upper_limb_body_marker_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_07_TVC12_2_JMP_07_upper_limb_body_marker_personalization\TVC12_2_JMP_07_upper_limb_body_marker_personalization_task_1_finalErrors.sto
8,TVC12_2_JMP_08_wrist_axis_personalization,3.96553429547629,3.96564186415197,0.000107568675682124,5.4530776935695,5.45381005362552,0.000732360056023007,26.66066,26.38995,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_08_TVC12_2_JMP_08_wrist_axis_personalization\TVC12_2_JMP_08_wrist_axis_personalization_task_1_initialErrors.sto,C:\Users\migue\Downloads\TFG\2_JMP\TVC12\Walk_2\TVC12_2_JMP_results\TVC12_2_STO_and_Plots_ONLY\step_08_TVC12_2_JMP_08_wrist_axis_personalization\TVC12_2_JMP_08_wrist_axis_personalization_task_1_finalErrors.sto
