Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     2        231           1.03094      0.00596285             11.7      
     3        308          0.984003      0.00514404             10.4      
     4        385           0.95018      0.00365211             8.17      
     5        462          0.923849      0.00308794             5.63      
     6        539          0.905259      0.00415281             5.26      
     7        616          0.888929      0.00400826             4.77      
     8        693          0.878069      0.00297121             3.98      
     9        770          0.867842      0.00317992             3.84      
    10        847          0.858873      0.00378624             2.92      
    11        924          0.852804      0.00254258             2.61      
    12       1001          0.846124      0.00245893             2.23      
    13       1078          0.839122      0.00427097             2.27      
    14       1155           0.83341      0.00307096             2.17      
    15       1232          0.827255      0.00319772             1.89      
    16       1309          0.823144      0.00244804             2.23      
    17       1386          0.817942      0.00331058             1.99      
    18       1463          0.813078      0.00387031             1.67      
    19       1540          0.809251       0.0029459             2.43      
    20       1617          0.804203       0.0038988             1.91      
    21       1694          0.798866       0.0034479             1.65      
    22       1771          0.794764      0.00311061             1.86      
    23       1848          0.791251      0.00236495              1.7      
    24       1925           0.78809      0.00313716             1.51      
    25       2002          0.782701      0.00346536             2.34      
    26       2079          0.779019      0.00308141             1.45      
    27       2156          0.775677      0.00224521             2.64      
    28       2233           0.77169      0.00323566             1.83      
    29       2310          0.768847      0.00229742             1.79      
    30       2387          0.766693      0.00209657              1.8      
    31       2464           0.76363      0.00284454              2.2      
    32       2541           0.76024      0.00279132             1.73      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 2.500000e+03.

Joint Model Personalization Runtime: 1.302330 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0          9          0.290085                                0

<a href = "matlab: helpview('optim','lsq_init_pt_min','CSHelpWindow');">Initial point is a local minimum</a>.

Optimization completed because the <a href = "matlab: helpview('optim','lsq_grad_size','CSHelpWindow');">size of the gradient</a> at the initial point 
is less than the value of the <a href = "matlab: helpview('optim','optimality_tolerance_lsq','CSHelpWindow');">optimality tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit100basic'},{'optimlib:snls:Exit100detailed','0.000000e+00','1.000000e-03'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.004716 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         45           1.71775                             25.6
     1         90          0.981006       0.0210067             8.79      
     2        135          0.894713       0.0142062             4.19      
     3        180           0.89285       0.0210441             5.17      
     4        225          0.838498      0.00526104             1.44      
     5        270          0.833328      0.00746662              2.1      
     6        315          0.828237      0.00919724             1.56      
     7        360          0.823202      0.00558604             1.45      
     8        405          0.821441      0.00768294             2.07      
     9        450          0.821441      0.00855886             2.07      
    10        495          0.815754      0.00213972             1.21      
    11        540          0.814596      0.00213972             1.06      
    12        585          0.812379      0.00213972            0.928      
    13        630          0.810517      0.00213972            0.674      
    14        675           0.80875      0.00213972            0.578      
    15        720          0.806312      0.00427943            0.732      
    16        765           0.80208      0.00967393             1.76      
    17        810          0.797681      0.00568038             0.99      
    18        855          0.797681        0.009842             0.99      
    19        900          0.795378       0.0024605            0.774      
    20        945          0.793605       0.0024605            0.521      
    21        990          0.791022        0.004921            0.672      
    22       1035          0.787115      0.00825931            0.944      
    23       1080          0.784726      0.00504528             1.36      
    24       1125           0.78117      0.00998398             1.63      
    25       1170          0.777854      0.00461879             1.03      
    26       1215          0.777122      0.00800588             1.99      
    27       1260          0.772305      0.00200147             0.57      
    28       1305          0.771041      0.00200147            0.537      
    29       1350          0.769181      0.00400294            0.538      
    30       1395          0.766433      0.00912235            0.864      
    31       1440          0.763048      0.00718748            0.664      
    32       1485          0.760389       0.0101219              1.3      
    33       1530          0.757891       0.0124653             1.69      

