Step,StepName,Marker,InitialMean_mm,FinalMean_mm,MeanChange_mm,InitialRMS_mm,FinalRMS_mm,RMSChange_mm,InitialMax_mm,FinalMax_mm
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Asis,9.98801220973783,4.01476520599251,-5.97324700374532,10.1340924895185,4.94321619982028,-5.19087628969823,14.406,20.75727
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Asis,9.75612064918851,5.07700218476904,-4.67911846441947,10.1795439108365,5.4525446183606,-4.7269992924759,17.79885,9.93094
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Psis,25.3687627091136,3.30229232209738,-22.0664703870162,25.442743573596,3.60386367542054,-21.8388798981755,28.9151,9.48477
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Psis,10.1886205742821,2.85734379525593,-7.33127677902622,10.3733471214459,3.13100140405251,-7.24234571739342,15.45546,6.30457
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,Sacral,12.9662285143571,2.83360283395755,-10.1326256803995,13.0946287066646,3.08584501285299,-10.0087836938116,16.5893,7.45467
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Thigh_Lateral,10.2350667665418,5.09004011235955,-5.14502665418227,10.6130734750714,5.47721850746399,-5.13585496760744,15.5425,11.33157
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Knee_Lateral,10.5450466916355,6.73168554307116,-3.8133611485643,11.3127231212859,7.32347230551829,-3.98925081576766,19.38744,12.97298
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Shank_Lateral,7.408438639201,5.70145540574282,-1.70698323345818,8.08799858831741,6.32822715769946,-1.75977143061795,20.49935,17.24131
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Ankle_Lateral,3.18988881398252,3.19461445692884,0.00472564294631914,3.48785535881854,3.52013931823313,0.0322839594145874,7.47073,5.90574
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Heel,4.21432172284644,3.13514555555555,-1.07917616729089,4.78822005967165,3.29328423974055,-1.4949358199311,8.52589,5.90512
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Toe,2.76122838951311,2.11906734082397,-0.642161048689139,2.94111719406316,2.21725681564892,-0.723860378414249,5.38412,4.78867
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Thigh_Lateral,8.91035368289638,3.90430662921348,-5.0060470536829,9.89521937044354,4.21513925050732,-5.68008011993622,20.92175,9.80416
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Knee_Lateral,27.632807815231,5.29880382022472,-22.3340039950062,29.1331377757318,6.40722613664988,-22.7259116390819,44.99382,15.25729
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Shank_Lateral,15.6918237827715,3.66031601747815,-12.0315077652934,15.7208447029541,4.4908149803932,-11.2300297225609,19.73886,16.63911
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Ankle_Lateral,12.1731907615481,3.48402925093633,-8.68916151061173,12.3195165553624,3.94976198458711,-8.36975457077528,15.94059,6.89907
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Heel,5.97194915106117,4.49222883895131,-1.47972031210986,6.3314558795598,4.78087437988447,-1.55058149967533,11.78179,7.23945
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Toe,2.86894902621723,2.88320468164794,0.0142556554307127,3.07805933605673,3.03863246340189,-0.0394268726548459,5.88891,4.92608
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Shoulder,5.47770902621723,6.78383350811486,1.30612448189763,5.6157571936778,6.97949235109893,1.36373515742113,7.87413,10.36598
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Shoulder,10.6104606991261,10.4793842946317,-0.131076404494383,10.7048224659376,10.6002116088529,-0.104610857084735,13.85833,14.57687
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,C7,14.0447055930087,9.88362807740325,-4.1610775156055,14.5892698989799,10.5456446692547,-4.04362522972522,23.05863,18.59928
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,J_Notch,11.6588647191011,7.81157152309613,-3.84729319600499,11.7216497177166,7.87762616884142,-3.84402354887515,14.32141,10.088
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,Thoracic,11.2195310986267,5.84737451935081,-5.37215657927591,11.5939935879829,6.62109252041057,-4.97290106757236,17.11196,11.866
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,Sternum,8.5204556928839,5.19176327091136,-3.32869242197254,8.85193560767483,5.86193684199707,-2.98999876567776,14.52478,11.71157
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Elbow,7.21962288389513,11.7026076154806,4.48298473158552,7.42253689239092,11.7835116391242,4.36097474673332,12.01338,15.8187
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Elbow,4.28544551810237,3.25123826466916,-1.03420725343321,5.21201727990925,3.62537799180913,-1.58663928810012,9.0958,7.36152
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,R_Wrist,2.01064428214732,2.18670524344569,0.176060961298376,2.27958799010278,2.45403009898322,0.174442108880439,5.77923,5.98306
1,TVC41_3_JMP_01_pelvis_thigh_marker_adjustment,L_Wrist,1.98491237203496,1.83287510611735,-0.152037265917603,2.46806476325472,2.08335357454323,-0.384711188711496,4.73397,3.86696
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Asis,4.01476520599251,4.02715029962547,0.0123850936329592,4.94321619982028,4.96246441183903,0.0192482120187501,20.75727,21.00242
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Asis,5.07700218476904,5.08466749063671,0.00766530586766671,5.4525446183606,5.46371386712436,0.0111692487637597,9.93094,9.94157
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Psis,3.30229232209738,3.29362566791511,-0.00866665418227308,3.60386367542054,3.59345377985839,-0.0104098955621477,9.48477,9.43464
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Psis,2.85734379525593,2.85839736579276,0.00105357053683001,3.13100140405251,3.1316117309102,0.000610326857695704,6.30457,6.27509
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,Sacral,2.83360283395755,2.82844117353308,-0.00516166042446907,3.08584501285299,3.07996533256577,-0.00587968028721965,7.45467,7.42022
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Thigh_Lateral,5.09004011235955,5.07652560549313,-0.013514506866417,5.47721850746399,5.47163054598738,-0.00558796147660627,11.33157,11.36832
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Knee_Lateral,6.73168554307116,6.72107205992509,-0.0106134831460688,7.32347230551829,7.31868816117633,-0.00478414434195926,12.97298,13.01719
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Shank_Lateral,5.70145540574282,5.68952830212235,-0.0119271036204734,6.32822715769946,6.33995398673667,0.0117268290372148,17.24131,17.50818
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Ankle_Lateral,3.19461445692884,3.19858368289638,0.00396922596754062,3.52013931823313,3.51421171966777,-0.00592759856535546,5.90574,5.67198
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Heel,3.13514555555555,3.14024995006242,0.00510439450686654,3.29328423974055,3.29477279062132,0.00148855088077373,5.90512,5.70791
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Toe,2.11906734082397,2.13446458177278,0.0153972409488142,2.21725681564892,2.23314858586698,0.01589177021806,4.78867,4.98752
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Thigh_Lateral,3.90430662921348,3.96101601747815,0.0567093882646694,4.21513925050732,4.27129556850982,0.0561563180025036,9.80416,9.74476
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Knee_Lateral,5.29880382022472,5.31425797752809,0.0154541573033698,6.40722613664988,6.39294083758909,-0.0142852990607815,15.25729,15.23126
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Shank_Lateral,3.66031601747815,3.59312418227216,-0.0671918352059932,4.4908149803932,4.41931122132784,-0.071503759065358,16.63911,16.35445
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Ankle_Lateral,3.48402925093633,3.55083876404494,0.0668095131086148,3.94976198458711,4.01972707827762,0.0699650936905093,6.89907,6.97466
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Heel,4.49222883895131,4.48728345817728,-0.00494538077403222,4.78087437988447,4.79140702982178,0.0105326499373129,7.23945,7.34201
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Toe,2.88320468164794,2.93192985018727,0.0487251685393248,3.03863246340189,3.08032834297275,0.0416958795708584,4.92608,5.0614
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Shoulder,6.78383350811486,6.78477565543071,0.000942147315852529,6.97949235109893,6.98064111765339,0.00114876655445909,10.36598,10.45702
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Shoulder,10.4793842946317,10.4781855930087,-0.00119870162296719,10.6002116088529,10.6000648289497,-0.000146779903176242,14.57687,14.56795
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,C7,9.88362807740325,9.88113794007491,-0.0024901373283405,10.5456446692547,10.5433143346343,-0.00233033462038353,18.59928,18.63307
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,J_Notch,7.81157152309613,7.80929850187266,-0.00227302122347405,7.87762616884142,7.87498098156007,-0.00264518728134572,10.088,10.07881
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,Thoracic,5.84737451935081,5.84442982521848,-0.00294469413232926,6.62109252041057,6.61685556996821,-0.00423695044236057,11.866,11.83214
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,Sternum,5.19176327091136,5.18813564294632,-0.00362762796504192,5.86193684199707,5.86005531919165,-0.001881522805414,11.71157,11.73166
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Elbow,11.7026076154806,11.704099937578,0.00149232209738226,11.7835116391242,11.7848605589119,0.0013489197876887,15.8187,15.8196
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Elbow,3.25123826466916,3.25220942571785,0.000971161048688926,3.62537799180913,3.62789200578908,0.00251401397994514,7.36152,7.30563
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,R_Wrist,2.18670524344569,2.17852560549313,-0.00817963795255935,2.45403009898322,2.44479588680404,-0.00923421217918167,5.98306,5.93351
2,TVC41_3_JMP_02_knee_ankle_joint_personalization,L_Wrist,1.83287510611735,1.83047213483146,-0.00240297128589273,2.08335357454323,2.08381585235862,0.000462277815389302,3.86696,3.8628
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Asis,4.02715029962547,4.02582679151061,-0.00132350811485674,4.96246441183903,4.91847987211225,-0.0439845397267871,21.00242,20.84704
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Asis,5.08466749063671,4.58327941323346,-0.501388077403247,5.46371386712436,4.97247310820412,-0.49124075892024,9.94157,9.32187
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Psis,3.29362566791511,3.33029191011236,0.0366662421972547,3.59345377985839,3.63038146907034,0.0369276892119483,9.43464,9.2364
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Psis,2.85839736579276,2.81067168539326,-0.0477256803995008,3.1316117309102,3.07602337354741,-0.0555883573627944,6.27509,6.24687
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,Sacral,2.82844117353308,2.79719981273408,-0.0312413607990018,3.07996533256577,3.05235916778586,-0.0276061647799084,7.42022,7.159
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Thigh_Lateral,5.07652560549313,5.03227171036205,-0.0442538951310849,5.47163054598738,5.44162060757508,-0.0300099384123011,11.36832,11.97186
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Knee_Lateral,6.72107205992509,6.50532605493134,-0.215746004993756,7.31868816117633,7.07095857910541,-0.247729582070923,13.01719,12.40875
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Shank_Lateral,5.68952830212235,5.75226404494382,0.062735742821474,6.33995398673667,6.39908619966132,0.059132212924644,17.50818,17.40052
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Ankle_Lateral,3.19858368289638,3.10374051186017,-0.0948431710362067,3.51421171966777,3.36099861454667,-0.1532131051211,5.67198,5.51692
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Heel,3.14024995006242,3.02935501872659,-0.11089493133583,3.29477279062132,3.17920795589391,-0.115564834727415,5.70791,5.67211
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Toe,2.13446458177278,2.05967343320849,-0.0747911485642944,2.23314858586698,2.15592569086184,-0.0772228950051365,4.98752,4.74502
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Thigh_Lateral,3.96101601747815,3.72162289637952,-0.239393121098627,4.27129556850982,4.01269259658436,-0.258602971925468,9.74476,9.34931
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Knee_Lateral,5.31425797752809,3.60784373283396,-1.70641424469413,6.39294083758909,4.24439068508685,-2.14855015250224,15.23126,10.86128
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Shank_Lateral,3.59312418227216,3.03490781523096,-0.558216367041199,4.41931122132784,3.91069399337148,-0.508617227956363,16.35445,16.46313
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Ankle_Lateral,3.55083876404494,1.97636664169788,-1.57447212234707,4.01972707827762,2.27975559195617,-1.73997148632145,6.97466,4.87452
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Heel,4.48728345817728,2.88126717852684,-1.60601627965044,4.79140702982178,3.00266063882229,-1.78874639099949,7.34201,4.99734
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,L_Toe,2.93192985018727,2.12426803995006,-0.807661810237203,3.08032834297275,2.20500119285311,-0.875327150119635,5.0614,3.52538
3,TVC41_3_JMP_03_lower_limb_body_marker_personalization,R_Shoulder,6.78477565543071,6.81136215980025,0.0265865043695412,6.98064111765339,6.97780384294637,-0.00283727470702134,10.45702,10.35962
